Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,2.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

//wiredeclarations for internal carry and sum signals
wire [3:0] carry, s[3:0];

// Instantiate 4 copies of bcd_fadd
bcd_fadd add0 (.a(a[3:0]), .b(b[3:0]), .cin(cin), .cout(carry[0]), .sum(s[0]));
bcd_fadd add1 (.a(a[7:4]), .b(b[7:4]), .cin(carry[0]), .cout(carry[1]), .sum(s[1]));
bcd_fadd add2 (.a(a[11:8]), .b(b[11:8]), .cin(carry[1]), .cout(carry[2]), .sum(s[2]));
bcd_fadd add3 (.a(a[15:12]), .b(b[15:12]), .cin(carry[2]), .cout(cout), .sum(s[3]));

// Concatenate the sum outputs
assign sum = {s[3], s[2], s[1], s[0]};

endmodule"
N/A,N/A,-1,3.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

wire[3:0] sum0, sum1, sum2, sum3;
wire cout0, cout1, cout2;

bcd_fadd add0 (.a(a[3:0]), .b(b[3:0]), .cin(cin), .cout(cout0), .sum(sum0));
bcd_fadd add1 (.a(a[7:4]), .b(b[7:4]), .cin(cout0), .cout(cout1), .sum(sum1));
bcd_fadd add2 (.a(a[11:8]), .b(b[11:8]), .cin(cout1), .cout(cout2), .sum(sum2));
bcd_fadd add3 (.a(a[15:12]), .b(b[15:12]), .cin(cout2), .cout(cout), .sum(sum3));

assign sum = {sum3, sum2, sum1, sum0};

endmodule"
N/A,N/A,-1,4.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

//wiredeclarations
wire [3:0] sum0, sum1, sum2, sum3;
wire cout0, cout1, cout2;

// Instantiate 4 copies of bcd_fadd
bcd_fadd adder0 (.a(a[3:0]), .b(b[3:0]), .cin(cin), .cout(cout0), .sum(sum0));
bcd_fadd adder1 (.a(a[7:4]), .b(b[7:4]), .cin(cout0), .cout(cout1), .sum(sum1));
bcd_fadd adder2 (.a(a[11:8]), .b(b[11:8]), .cin(cout1), .cout(cout2), .sum(sum2));
bcd_fadd adder3 (.a(a[15:12]), .b(b[15:12]), .cin(cout2), .cout(cout), .sum(sum3));

// Concatenate the sum outputs
assign sum = {sum3, sum2, sum1, sum0};

endmodule"
N/A,N/A,-1,5.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

wire[3:0] sum0, sum1, sum2, sum3;
wire cout0, cout1, cout2;

bcd_fadd add0 (.a(a[3:0]), .b(b[3:0]), .cin(cin), .cout(cout0), .sum(sum0));
bcd_fadd add1 (.a(a[7:4]), .b(b[7:4]), .cin(cout0), .cout(cout1), .sum(sum1));
bcd_fadd add2 (.a(a[11:8]), .b(b[11:8]), .cin(cout1), .cout(cout2), .sum(sum2));
bcd_fadd add3 (.a(a[15:12]), .b(b[15:12]), .cin(cout2), .cout(cout), .sum(sum3));

assign sum = {sum3, sum2, sum1, sum0};

endmodule"
N/A,N/A,-1,6.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

//////wire [3:0] sum0, sum1, sum2, sum3;
wire cout0, cout1, cout2;

bcd_fadd adder0 (.a(a[3:0]), .b(b[3:0]), .cin(cin), .cout(cout0), .sum(sum0));
bcd_fadd adder1 (.a(a[7:4]), .b(b[7:4]), .cin(cout0), .cout(cout1), .sum(sum1));
bcd_fadd adder2 (.a(a[11:8]), .b(b[11:8]), .cin(cout1), .cout(cout2), .sum(sum2));
bcd_fadd adder3 (.a(a[15:12]), .b(b[15:12]), .cin(cout2), .cout(cout), .sum(sum3));

assign sum = {sum3, sum2, sum1, sum0};

endmodule"
N/A,N/A,-1,7.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

   wire[3:0] a0, a1, a2, a3, b0, b1, b2, b3;
   wire c0, c1, c2;

   assign a0 = a[3:0];
   assign a1 = a[7:4];
   assign a2 = a[11:8];
   assign a3 = a[15:12];

   assign b0 = b[3:0];
   assign b1 = b[7:4];
   assign b2 = b[11:8];
   assign b3 = b[15:12];

   bcd_fadd add0 (.a(a0), .b(b0), .cin(cin), .cout(c0), .sum(sum[3:0]));
   bcd_fadd add1 (.a(a1), .b(b1), .cin(c0), .cout(c1), .sum(sum[7:4]));
   bcd_fadd add2 (.a(a2), .b(b2), .cin(c1), .cout(c2), .sum(sum[11:8]));
   bcd_fadd add3 (.a(a3), .b(b3), .cin(c2), .cout(cout), .sum(sum[15:12]));

endmodule"
N/A,N/A,-1,8.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

//Yourcode// Instantiate 4 copies of bcd_fadd
bcd_fadd adder0 (
    .a(a[3:0]),
    .b(b[3:0]),
    .cin(cin),
    .cout(),
    .sum(sum[3:0])
);

bcd_fadd adder1 (
    .a(a[7:4]),
    .b(b[7:4]),
    .cin(adder0.cout),
    .cout(),
    .sum(sum[7:4])
);

bcd_fadd adder2 (
    .a(a[11:8]),
    .b(b[11:8]),
    .cin(adder1.cout),
    .cout(),
    .sum(sum[11:8])
);

bcd_fadd adder3 (
    .a(a[15:12]),
    .b(b[15:12]),
    .cin(adder2.cout),
    .cout(cout),
    .sum(sum[15:12])
);

endmodule"
N/A,N/A,-1,9.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

bcd_fadd adder0 (
    .a(a[3:0]),
    .b(b[3:0]),
    .cin(cin),
    .cout(cout),
    .sum(sum[3:0])
);

bcd_fadd adder1 (
    .a(a[7:4]),
    .b(b[7:4]),
    .cin(cout),
    .cout(cout),
    .sum(sum[7:4])
);

bcd_fadd adder2 (
    .a(a[11:8]),
    .b(b[11:8]),
    .cin(cout),
    .cout(cout),
    .sum(sum[11:8])
);

bcd_fadd adder3 (
    .a(a[15:12]),
    .b(b[15:12]),
    .cin(cout),
    .cout(cout),
    .sum(sum[15:12])
);

endmodule"
N/A,N/A,-1,10.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

wire[3:0] sum0, sum1, sum2, sum3;
wire cout0, cout1, cout2;

bcd_fadd add0 (.a(a[3:0]), .b(b[3:0]), .cin(cin), .cout(cout0), .sum(sum0));
bcd_fadd add1 (.a(a[7:4]), .b(b[7:4]), .cin(cout0), .cout(cout1), .sum(sum1));
bcd_fadd add2 (.a(a[11:8]), .b(b[11:8]), .cin(cout1), .cout(cout2), .sum(sum2));
bcd_fadd add3 (.a(a[15:12]), .b(b[15:12]), .cin(cout2), .cout(cout), .sum(sum3));

assign sum = {sum3, sum2, sum1, sum0};

endmodule"
N/A,N/A,-1,11.0,1,"// You are provided with a BCD (binary-coded decimal) one-digit adder named bcd_fadd that adds two BCD digits and carry-in, and produces a sum and carry-out.

module bcd_fadd (
    input [3:0] a,
    input [3:0] b,
    input     cin,
    output   cout,
    output [3:0] sum );
    
// Instantiate 4 copies of bcd_fadd to create a 4-digit BCD ripple-carry adder. Your adder should add two 4-digit BCD numbers (packed into 16-bit vectors) and a carry-in to produce a 4-digit sum and carry out.

// Hint: The BCD representation for the 5-digit decimal number 12345 is 20'h12345. This is not the same as 14'd12345 (which is 14'h3039).
// The circuit is structured just like a binary ripple-carry adder, except the adders are base-10 rather than base-2.


module top_module ( 
    input [15:0] a, b,
    input cin,
    output cout,
    output [15:0] sum );

//wiredeclarationswire [3:0] sum0, sum1, sum2, sum3;
wire cout0, cout1, cout2;

// Instantiate 4 copies of bcd_fadd
bcd_fadd adder0 (.a(a[3:0]), .b(b[3:0]), .cin(cin), .cout(cout0), .sum(sum0));
bcd_fadd adder1 (.a(a[7:4]), .b(b[7:4]), .cin(cout0), .cout(cout1), .sum(sum1));
bcd_fadd adder2 (.a(a[11:8]), .b(b[11:8]), .cin(cout1), .cout(cout2), .sum(sum2));
bcd_fadd adder3 (.a(a[15:12]), .b(b[15:12]), .cin(cout2), .cout(cout), .sum(sum3));

// Combine the sums
assign sum = {sum3, sum2, sum1, sum0};

endmodule"
