Area,Delay,Score,Current Run,Episode,Verilog
300.314,1228.16,0.1,0,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire [31:0] sum_temp;
  wire cout_temp;
  wire [32:0] temp;
  assign temp = {1'b0,in1} + {1'b0,in2} + {32'b0,cin};
  assign sum = temp[31:0];
  assign cout = temp[32];
endmodule"
300.314,1228.16,0.1,1,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire [31:0] sum_temp;
  wire cout_temp;
  wire [32:0] temp;
  assign temp = {1'b0,in1} + {1'b0,in2} + {32'b0,cin};
  assign sum = temp[31:0];
  assign cout = temp[32];
endmodule"
300.314,1228.16,0.1,2,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire [31:0] sum_temp;
  wire cout_temp;
  wire [32:0] temp;
  assign temp = {1'b0,in1} + {1'b0,in2} + {1'b0,cin};
  assign sum = temp[31:0];
  assign cout = temp[32];
endmodule"
N/A,N/A,-0.1,3,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
    wire [31:0] sum_temp;
    wire cout_temp;
    wire [31:0] in1_temp;
    wire [31:0] in2_temp;
    wire [32:0] temp;
    assign in1_temp = in1;
    assign in2_temp = in2;
    assign temp = {in1_temp, in2_temp, cin};
    assign sum_temp = temp[31:0] + temp[32];
    assign cout_temp = temp[32];
    assign sum = sum_temp[31:0];
    assign cout = cout_temp;
endmodule"
N/A,N/A,-0.1,4,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire c1, c2, c3;
  //gates instantiation
  //sum module instantiation
endmodule"
N/A,N/A,-0.1,5,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire c1, c2, c3;
  //gates instantiation
  //sum module instantiation
endmodule"
N/A,N/A,-0.1,6,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire c1, c2, c3;
  //gates instantiation
  //sum module instantiation
endmodule"
N/A,N/A,-0.1,7,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire c1, c2, c3;
  //gates instantiation
  //sum module instantiation
endmodule"
N/A,N/A,-0.1,8,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire c1, c2, c3;
  //gates instantiation
  //sum module instantiation
endmodule"
N/A,N/A,-0.1,9,0,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire [31:0] sum_temp;
  wire cout_temp;
  wire [32:0] temp_sum;
  wire [32:0] add_temp;
  assign temp_sum = in1 + in2 + cin;
  assign sum_temp = temp_sum[31:0];
  assign add_temp[32] = temp_sum[32];
  assign cout_temp = temp_sum[32] + temp_sum[33];
  assign cout = cout_temp;
  assign sum = sum_temp;
endmodule"
