Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,0,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    
    clk_wiz_0 clk_wiz_0(
      .clk_in1(clk),
      .clk_out1(clk_out)
    );
    
    clk_divider #(12500000) clk_divider_0(
      .clk_in(clk_out),
      .reset(reset),
      .enable(ena),
      .clk_out(clk_out)
    );
    
    assign pm = clk_out[24];
    
    bcd_to_7seg bcd_to_7seg_0(
      .BCD(ss),
      .seg(hh)
    );
    
    bcd_to_7seg bcd_to_7seg_1(
      .BCD(mm),
      .seg(hh)
    );
    
    bcd_to_7seg bcd_to_7seg_2(
      .BCD(mm),
      .seg(mm)
    );
    
    bcd_to_7seg bcd_to_7seg_3(
      .BCD(ss),
      .seg(ss)
    );
    
endmodule"
N/A,N/A,-1,1,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    
    clk_wiz_0 clk_wiz_0(
      .clk_in1(clk),
      .clk_out1(clk_out)
    );
    
    clk_divider #(12500000) clk_divider_0(
      .clk_in(clk_out),
      .reset(reset),
      .enable(ena),
      .clk_out(clk_out)
    );
    
    assign pm = clk_out[24];
    
    bcd_to_7seg bcd_to_7seg_0(
      .BCD(ss),
      .seg(hh)
    );
    
    bcd_to_7seg bcd_to_7seg_1(
      .BCD(mm),
      .seg(hh)
    );
    
    bcd_to_7seg bcd_to_7seg_2(
      .BCD(mm),
      .seg(mm)
    );
    
    bcd_to_7seg bcd_to_7seg_3(
      .BCD(ss),
      .seg(ss)
    );
    
endmodule"
N/A,N/A,-1,2,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out;
    
    assign h_out = (h_reg == 5'h0)? h_reg : h_reg + 1;
    assign m_out = (m_reg == 5'h0)? m_reg : m_reg + 1;
    
    always @(posedge clk) begin
        if(reset) begin
            h_reg <= 5'h0;
            m_reg <= 5'h0;
        end
        else begin
            if(ena) begin
                h_reg <= h_out;
                m_reg <= m_out;
            end
        end
    end
    
    assign pm = (h_reg == 5'h0) && (m_reg == 5'h0)? 0 : 1;
    
    assign hh = h_reg;
    assign mm = m_reg;
    assign ss = s_reg;
    
endmodule"
N/A,N/A,-1,3,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] q1, q2, q3, q4;
    
    wire [3:0] hh_out, mm_out, ss_out;
    
    assign hh_out = (q1 == 4'd11)? 4'd1 : q1;
    assign mm_out = (q2 == 4'd59)? 4'd1 : q2;
    assign ss_out = (q3 == 4'd59)? 4'd1 : q3;
    
    assign hh = (q4 == 4'd11)? 4'd1 : q4;
    assign mm = (q4 == 4'd59)? 4'd1 : q4;
    assign ss = (q4 == 4'd59)? 4'd1 : q4;
    
    bcd_decoder bcd0(.in(q1),.out(q4));
    bcd_decoder bcd1(.in(q2),.out(q3));
    bcd_decoder bcd2(.in(q3),.out(q2));
    bcd_decoder bcd3(.in(q4),.out(q1));
    
    wire [3:0] q4_next, q3_next, q2_next, q1_next;
    
    assign q4_next = (q4 == 4'd11)? 4'd1 : q4 + 4'd1;
    assign q3_next = (q3 == 4'd59)? 4'd1 : q3 + 4'd1;
    assign q2_next = (q2 == 4'd59)? 4'd1 : q2 + 4'd1;
    assign q1_next = (q1 == 4'd11)? 4'd1 : q1 + 4'd1;
    
    always @(posedge clk) begin
        if(reset) begin
            q4 <= 4'd0;
            q3 <= 4'd0;
            q2 <= 4'd0;
            q1 <= 4'd0;
        end
        else begin
            if(ena) begin
                q4 <= q4_next;
                q3 <= q3_next;
                q2 <= q2_next;
                q1 <= q1_next;
            end
        end
    end
    
    assign pm = (q1 == 4'd11) && (q2 == 4'd59) && (q3 == 4'd59);
    
endmodule"
N/A,N/A,-1,4,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out, s_out;
    
    // instantiate a 4-bit counter
    // clk is the clock input
    // reset is the reset input
    // ena is the enable input
    // h_out is the output to the hour digits
    // m_out is the output to the minute digits
    // s_out is the output to the second digits
    
    counter c0(clk, reset, ena, h_out, m_out, s_out);
    
    // assign the outputs to the hour, minute, and second digits
    // assign the output to the pm indicator
    
    assign hh = {h_out[2:0], 1'b0};
    assign mm = {m_out[3:0], 1'b0};
    assign ss = {s_out[3:0], 1'b0};
    assign pm = h_out[3];
    
endmodule"
N/A,N/A,-1,5,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] c_en, c_en_1, c_en_2;
    wire [3:0] c_out;
    
    assign c_en = ena? 4'b1111 : 4'b0000;
    assign c_en_1 = ena? 4'b1110 : 4'b0000;
    assign c_en_2 = ena? 4'b1101 : 4'b0000;
    
    count_ss c_ss(clk, reset, c_en_1, c_out);
    count_mm c_mm(clk, reset, c_en_2, c_out);
    count_hh c_hh(clk, reset, c_en, c_out);
    
    assign pm = c_out[3];
    assign hh = c_out[2:0];
    assign mm = c_out[7:4];
    assign ss = c_out[11:8];
    
endmodule"
N/A,N/A,-1,6,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_in, m_in, s_in;
    wire [3:0] h_out, m_out, s_out;
    
    // Instantiate the three counters
    bcd_cnt hour_cnt(clk, reset, ena, h_in);
    bcd_cnt min_cnt(clk, reset, ena, m_in);
    bcd_cnt sec_cnt(clk, reset, ena, s_in);
    
    // Convert the BCD numbers to the appropriate decimal numbers
    decimal_cnt hour_dec(h_in, h_out);
    decimal_cnt min_dec(m_in, m_out);
    decimal_cnt sec_dec(s_in, s_out);
    
    // Convert the decimal numbers to BCD
    bcd_cnt hour_bcd(clk, reset, ena, h_out);
    bcd_cnt min_bcd(clk, reset, ena, m_out);
    bcd_cnt sec_bcd(clk, reset, ena, s_out);
    
    // Combine the BCD counters to create the final, bcd-based output
    assign pm = h_out[3] ^ m_out[3]; // 0 for am, 1 for pm
    assign hh = h_out;
    assign mm = m_out;
    assign ss = s_out;
endmodule"
N/A,N/A,-1,7,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_in, m_in, s_in;
    wire [3:0] h_out, m_out, s_out;
    
    // Instantiate the three counters
    bcd_cnt hour_cnt(clk, reset, ena, h_in);
    bcd_cnt min_cnt(clk, reset, ena, m_in);
    bcd_cnt sec_cnt(clk, reset, ena, s_in);
    
    // Convert the BCD numbers to the appropriate decimal numbers
    decimal_cnt hour_dec(h_in, h_out);
    decimal_cnt min_dec(m_in, m_out);
    decimal_cnt sec_dec(s_in, s_out);
    
    // Convert the decimal numbers to BCD
    bcd_cnt hour_bcd(clk, reset, ena, h_out);
    bcd_cnt min_bcd(clk, reset, ena, m_out);
    bcd_cnt sec_bcd(clk, reset, ena, s_out);
    
    // Combine the BCD counters to create the final, bcd-based output
    assign pm = h_out[3] ^ m_out[3]; // 0 for am, 1 for pm
    assign hh = h_out;
    assign mm = m_out;
    assign ss = s_out;
endmodule"
N/A,N/A,-1,8,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    wire [7:0] hh_out;
    wire [7:0] mm_out;
    wire [7:0] ss_out;
    
    clk_wiz_0 clk_wiz_0(
      .clk_in1(clk),
      .clk_out1(clk_out)
    );
    
    bcd_to_7seg bcd_to_7seg_0(
      .sin(ss_out),
      .seg(ss)
    );
    
    bcd_to_7seg bcd_to_7seg_1(
      .sin(mm_out),
      .seg(mm)
    );
    
    bcd_to_7seg bcd_to_7seg_2(
      .sin(hh_out),
      .seg(hh)
    );
    
    assign pm = ~ss_out[3] & ss_out[2] & ~ss_out[1] & ss_out[0] & ~mm_out[3] & mm_out[2] & mm_out[1] & mm_out[0];
    
    assign hh_out = (reset | ~ena)? 0 : (hh_out + 1);
    
    assign mm_out = (reset | ~ena)? 0 : (mm_out + 1);
    
    assign ss_out = (reset | ~ena)? 0 : (ss_out + 1);
    
endmodule"
N/A,N/A,-1,9,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    wire [7:0] hh_out;
    wire [7:0] mm_out;
    wire [7:0] ss_out;
    
    clk_wiz_0 clk_wiz_0(
      .clk_in1(clk),
      .clk_out1(clk_out)
    );
    
    bcd_to_7seg bcd_to_7seg_0(
      .sin(ss_out),
      .seg(ss)
    );
    
    bcd_to_7seg bcd_to_7seg_1(
      .sin(mm_out),
      .seg(mm)
    );
    
    bcd_to_7seg bcd_to_7seg_2(
      .sin(hh_out),
      .seg(hh)
    );
    
    assign pm = ~ss_out[3] & ss_out[2] & ~ss_out[1] & ss_out[0] & ~mm_out[3] & mm_out[2] & mm_out[1] & mm_out[0];
    
    assign hh_out = (reset | ~ena)? 0 : (hh_out + 1);
    
    assign mm_out = (reset | ~ena)? 0 : (mm_out + 1);
    
    assign ss_out = (reset | ~ena)? 0 : (ss_out + 1);
    
endmodule"
