Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,0,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out, s_out;
    
    bcd_to_7seg h_reg(.clk(clk),.reset(reset),.enable(ena),.BCD(h_out),.seg(hh));
    bcd_to_7seg m_reg(.clk(clk),.reset(reset),.enable(ena),.BCD(m_out),.seg(mm));
    bcd_to_7seg s_reg(.clk(clk),.reset(reset),.enable(ena),.BCD(s_out),.seg(ss));
    
    assign pm = (h_out == 4'd11) && (m_out == 4'd59) && (s_out == 4'd59);
    
endmodule"
N/A,N/A,-1,1,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    wire [7:0] hh_out, mm_out, ss_out;
    
    clk_wiz_0 clk_wiz_0(
      .clk_in1(clk),
      .clk_out1(clk_out)
    );
    
    bcd_to_7seg bcd_to_7seg_0(
      .bcd3(ss_out),
      .bcd2(mm_out),
      .bcd1(hh_out),
      .bcd0(hh_out),
      .seg(ss),
      .seg1(mm),
      .seg0(hh),
      .an(an),
      .an_old(an_old)
    );
    
    assign pm = an[3];
    
    always @(posedge clk_out) begin
        if(reset) begin
            an <= 4'b0;
        end
        else begin
            if(ena) begin
                an <= an_old + 1;
            end
        end
    end
    
    always @(posedge clk_out) begin
        if(reset) begin
            an_old <= 4'b0;
        end
        else begin
            if(ena) begin
                an_old <= an;
            end
        end
    end
    
    always @(posedge clk_out) begin
        if(reset) begin
            ss_out <= 0;
            mm_out <= 0;
            hh_out <= 0;
        end
        else begin
            if(ena) begin
                ss_out <= ss_out + 1;
                if(ss_out == 60) begin
                    ss_out <= 0;
                    mm_out <= mm_out + 1;
                    if(mm_out == 60) begin
                        mm_out <= 0;
                        hh_out <= hh_out + 1;
                        if(hh_out == 13) begin
                            hh_out <= 1;
                        end
                    end
                end
            end
        end
    end
    
endmodule"
N/A,N/A,-1,2,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    wire [7:0] hh_out, mm_out, ss_out;
    
    clk_wiz_0 clk_wiz_0(
      .clk_in1(clk),
      .clk_out1(clk_out)
    );
    
    bcd_to_7seg bcd_to_7seg_0(
      .bcd3(ss_out),
      .bcd2(mm_out),
      .bcd1(hh_out),
      .bcd0(hh_out),
      .seg(ss),
      .seg1(mm),
      .seg0(hh),
      .an(pm)
    );
    
    always @(posedge clk_out) begin
        if(reset) begin
            ss <= 0;
            mm <= 0;
            hh <= 0;
        end
        else begin
            if(ena) begin
                if(ss_out == 8'h59) begin
                    ss <= 0;
                    if(mm_out == 8'h59) begin
                        mm <= 0;
                        if(hh_out == 8'h23) begin
                            hh <= 0;
                        end
                        else begin
                            hh <= hh_out + 1;
                        end
                    end
                    else begin
                        mm <= mm_out + 1;
                        if(mm_out == 8'h59) begin
                            hh <= hh_out + 1;
                        end
                    end
                end
                else begin
                    ss <= ss_out + 1;
                end
            end
        end
    end
    
endmodule"
N/A,N/A,-1,3,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_in, m_in, s_in;
    wire [3:0] h_out, m_out, s_out;
    
    assign h_in = hh;
    assign m_in = mm;
    assign s_in = ss;
    
    bcd_to_7seg seg0(.sin(s_in),.seg(s_out));
    bcd_to_7seg seg1(.sin(m_in),.seg(m_out));
    bcd_to_7seg seg2(.sin(h_in),.seg(h_out));
    
    reg pm_out;
    assign pm = pm_out;
    
    always @(posedge clk) begin
        if (reset) begin
            pm_out <= 0;
        end
        else begin
            if (ena) begin
                pm_out <= h_out[3];
            end
        end
    end
    
    always @(posedge clk) begin
        if (reset) begin
            hh <= 0;
            mm <= 0;
            ss <= 0;
        end
        else begin
            if (ena) begin
                hh <= h_out;
                mm <= m_out;
                ss <= s_out;
            end
        end
    end
endmodule"
N/A,N/A,-1,4,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] q;
    
    // This module generates a 4-bit binary-coded decimal (BCD) code for the minute and second counters.
    // Since the counters are incremented every second, their output is a 4-bit BCD code of the form xxxx.
    // The BCD code is converted into a decimal value by adding the BCD codes for the hour and minute,
    // and then dividing by 60.
    // The decimal value is rounded to the nearest minute.
    // The output is the value of the counters as a decimal, and the output is rounded to the nearest minute.
    // The output is also checked to see if it is the beginning of a new hour. If so, the output is
    // converted to BCD and sent to the hour_out module.
    
    bcd_to_7seg hour_out(
      .bcd(q[3:0]),
      .sseg(ss)
    );
    
    bcd_to_7seg minute_out(
      .bcd(q[7:4]),
      .sseg(mm)
    );
    
    bcd_to_7seg second_out(
      .bcd(q[11:8]),
      .sseg(hh)
    );
    
    // The following line converts the BCD codes to decimal values.
    // The decimal values are then divided by 60 to give the minute and second values.
    // The output is rounded to the nearest minute.
    // The output is also checked to see if it is the beginning of a new hour.
    // If so, the output is converted to BCD and sent to the hour_out module.
    
    assign q = (q[11:8] + q[7:4] + q[3:0]) / 60;
    
    // The following line determines whether the output is the beginning of a new hour.
    // The hour is given by the hour_out module.
    
    assign pm = (q[11:8] == 0) & (q[7:4] == 0) & (q[3:0] == 0);
    
endmodule"
N/A,N/A,-1,5,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out;
    
    bcd_to_7seg bcd_to_7seg_h(.in(h_out),.out(hh));
    bcd_to_7seg bcd_to_7seg_m(.in(m_out),.out(mm));
    bcd_to_7seg bcd_to_7seg_s(.in(h_out),.out(ss));
    
    wire [3:0] h_out_pm, m_out_pm;
    
    assign h_out_pm = h_out;
    assign m_out_pm = m_out;
    
    pm_gen pm_gen(.clk(clk),.reset(reset),.ena(ena),.h_out(h_out_pm),.m_out(m_out_pm),.pm(pm));
    
endmodule"
N/A,N/A,-1,6,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out;
    
    bcd_to_7seg bcd_to_7seg_h(.in(h_out),.out(hh));
    bcd_to_7seg bcd_to_7seg_m(.in(m_out),.out(mm));
    bcd_to_7seg bcd_to_7seg_s(.in(h_out),.out(ss));
    
    wire [3:0] h_out_pm, m_out_pm;
    
    assign h_out_pm = h_out;
    assign m_out_pm = m_out;
    
    pm_gen pm_gen(.clk(clk),.reset(reset),.ena(ena),.h_out(h_out_pm),.m_out(m_out_pm),.pm(pm));
    
endmodule"
N/A,N/A,-1,7,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_1s, clk_1ms, clk_1us, clk_1ms_ena;
    
    assign clk_1s = clk;
    assign clk_1ms = clk_1s;
    assign clk_1us = clk_1ms;
    assign clk_1ms_ena = ena;
    
    wire [3:0] sec_r, min_r, hr_r;
    
    bcd_time_converter sec(clk_1s, clk_1ms_ena, reset, sec_r);
    bcd_time_converter min(clk_1s, clk_1ms_ena, reset, min_r);
    bcd_time_converter hr(clk_1s, clk_1ms_ena, reset, hr_r);
    
    assign pm = hr_r[3];
    assign hh = hr_r;
    assign mm = min_r;
    assign ss = sec_r;
    
endmodule"
N/A,N/A,-0.1,8,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    // Declare three counters.
    //
    // The first counter counts seconds. It has a maximum value of 59.
    // The second counter counts minutes. It has a maximum value of 59.
    // The third counter counts hours. It has a maximum value of 23.
    //
    // You may add your own counters.
    
    reg [7:0] ss_reg, ss_next;
    reg [7:0] mm_reg, mm_next;
    reg [7:0] hh_reg, hh_next;
    
    // You may add your own registers.
    
    
    // Implement the next-state logic for all the counters. You may use the
    // state values to compute intermediate results.
    //
    // You may add your own next-state logic.
    
    always @(posedge clk) begin
        if (reset) begin
            ss_reg <= 0;
            mm_reg <= 0;
            hh_reg <= 0;
        end
        else if (ena) begin
            ss_reg <= ss_next;
            mm_reg <= mm_next;
            hh_reg <= hh_next;
        end
    end
    
    // You may add your own code.
    
    // The output logic.
    
    assign ss = ss_reg;
    assign mm = mm_reg;
    assign hh = hh_reg;
    assign pm = (hh_reg == 12) & (mm_reg == 59) & (ss_reg == 59);
    
endmodule"
N/A,N/A,-0.1,9,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    // Declare three counters.
    //
    // The first counter counts seconds. It has a maximum value of 59.
    // The second counter counts minutes. It has a maximum value of 59.
    // The third counter counts hours. It has a maximum value of 23.
    //
    // You may add your own counters.
    
    reg [7:0] ss_reg, ss_next;
    reg [7:0] mm_reg, mm_next;
    reg [7:0] hh_reg, hh_next;
    
    // You may add your own registers.
    
    
    // Implement the next-state logic for all the counters. You may use the
    // state values to compute intermediate results.
    //
    // You may add your own next-state logic.
    
    always @(posedge clk) begin
        if (reset) begin
            ss_reg <= 0;
            mm_reg <= 0;
            hh_reg <= 0;
        end
        else if (ena) begin
            ss_reg <= ss_next;
            mm_reg <= mm_next;
            hh_reg <= hh_next;
        end
    end
    
    // You may add your own code.
    
    // The output logic.
    
    assign ss = ss_reg;
    assign mm = mm_reg;
    assign hh = hh_reg;
    assign pm = (hh_reg == 12) & (mm_reg == 59) & (ss_reg == 59);
    
endmodule"
