Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-0.1,2.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Use FSM from Fsm_serial

// New: Datapath to latch input bits.

endmodule"
N/A,N/A,-0.1,3.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    // Use FSM from Fsm_serial
    // New: Datapath to latch input bits.
    
    parameter idle = 4'd0, start = 4'd1, trans0 = 4'd2, trans1 = 4'd3, trans2 = 4'd4, trans3 = 4'd5;
    parameter trans4 = 4'd6, trans5 = 4'd7, trans6 = 4'd8, trans7 = 4'd9, stop = 4'd10, error = 4'd11, pari = 4'd12;
    reg [3:0] state, next_state;
    
    always @(*) begin
        state <= next_state;
    end
    
    always @(posedge clk) begin
        if(reset)
            next_state <= idle;
        else
            case(state)
                idle:
                    if(~in)
                        next_state <= start;
                start:
                    if(in)
                        next_state <= trans0;
                trans0:
                    if(~in)
                        next_state <= trans1;
                trans1:
                    if(~in)
                        next_state <= trans2;
                trans2:
                    if(~in)
                        next_state <= trans3;
                trans3:
                    if(~in)
                        next_state <= trans4;
                trans4:
                    if(~in)
                        next_state <= trans5;
                trans5:
                    if(~in)
                        next_state <= trans6;
                trans6:
                    if(~in)
                        next_state <= trans7;
                trans7:
                    if(~in)
                        next_state <= pari;
                pari:
                    if(in)
                        next_state <= idle;
                default:
                    next_state <= idle;
            endcase
    end
    
    assign done = (state == stop);
    
    // New: Datapath to latch input bits.
    reg [7:0] out;
    always @(posedge clk) begin
        if(state == trans0 || state == trans1 || state == trans2 || state == trans3 || state == trans4 || state == trans5 || state == trans6 || state == trans7)
            out <= {in, out[7:1]};
        else
            out <= out;
    end
    
    assign out_byte = out;
    
endmodule"
N/A,N/A,-0.1,4.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Modify FSM and datapath from Fsm_serial

// New: Latch input bits.

endmodule"
N/A,N/A,-0.1,5.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

// Define states
localparam
    idle = 0,
    start = 1,
    data = 2,
    stop = 3,
    last = 4;

reg [1:0] state, next_state;
reg [3:0] counter;
reg [7:0] data_reg;
reg [7:0] out;
reg done_reg;

// New: Datapath to latch input bits.
// New: Output byte stream

always @(posedge clk) begin
    if(reset)
        state <= idle;
    else
        state <= next_state;
end

always @(*) begin
    case(state)
        idle: begin
            if(~in)
                next_state = start;
            else
                next_state = idle;
        end
        start: begin
            if(counter == 7)
                next_state = data;
            else
                next_state = start;
        end
        data: begin
            if(counter == 15)
                next_state = stop;
            else
                next_state = data;
        end
        stop: begin
            if(counter == 7)
                next_state = last;
            else
                next_state = stop;
        end
        last: begin
            if(counter == 7)
                next_state = idle;
            else
                next_state = last;
        end
        default: next_state = idle;
    endcase
end

always @(posedge clk) begin
    if(state == data)
        counter <= counter + 1;
    else
        counter <= 0;
end

always @(posedge clk) begin
    if(state == stop) begin
        data_reg <= {data_reg[6:0], in};
    end
end

always @(posedge clk) begin
    if(state == last) begin
        out <= data_reg;
        done_reg <= 1;
    end
    else
        done_reg <= 0;
end

assign out_byte = out;
assign done = done_reg;

endmodule"
N/A,N/A,-0.1,6.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Use FSM from Fsm_serial

endmodule"
N/A,N/A,-0.1,7.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    
    parameter idle = 0, rec_data = 1, stop_bit = 2;
    reg [1:0] state, next_state;
    
    always @(*) begin
        state <= next_state;
    end
    
    always @(posedge clk) begin
        if(reset)
            next_state <= idle;
        else
            begin
                case(state)
                    idle:
                        begin
                            if(~in)
                                next_state <= rec_data;
                            else
                                next_state <= idle;
                        end
                    rec_data:
                        begin
                            if(~in)
                                next_state <= stop_bit;
                            else
                                next_state <= rec_data;
                        end
                    stop_bit:
                        begin
                            if(in)
                                next_state <= idle;
                            else
                                next_state <= rec_data;
                        end
                    default:
                        next_state <= idle;
                endcase
            end
    end
    
    assign done = (state == stop_bit);
    
    // New: Datapath to latch input bits.
    
    reg [7:0] out;
    
    always @(posedge clk) begin
        if(state == rec_data)
            out <= {out[6:0], in};
    end
    
    assign out_byte = out;
    
endmodule"
N/A,N/A,-0.1,8.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    // New: Datapath to latch input bits.
    
    reg [2:0] state, next_state;
    reg [7:0] out_byte_reg;
    reg done_reg;
    
    always @(*) begin
        state <= next_state;
    end
    
    always @(posedge clk) begin
        if(reset) begin
            out_byte_reg <= 0;
            done_reg <= 0;
        end
        else begin
            out_byte_reg <= out_byte;
            done_reg <= done;
        end
    end
    
    always @(*) begin
        next_state = state;
        case (state)
            3'b000: begin
                if(in)
                    next_state = 3'b001;
            end
            3'b001: begin
                if(in)
                    next_state = 3'b010;
            end
            3'b010: begin
                if(in)
                    next_state = 3'b011;
            end
            3'b011: begin
                if(in)
                    next_state = 3'b100;
            end
            3'b100: begin
                if(in)
                    next_state = 3'b101;
            end
            3'b101: begin
                if(in)
                    next_state = 3'b110;
            end
            3'b110: begin
                if(in)
                    next_state = 3'b111;
            end
            3'b111: begin
                if(~in)
                    next_state = 3'b000;
            end
            default: begin
                next_state = 3'b000;
            end
        endcase
    end
    
    assign done = (state == 3'b111)? 1 : 0;
    assign out_byte = out_byte_reg;
    
endmodule"
N/A,N/A,-0.1,9.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    // New: Datapath to latch input bits.
    
    reg [2:0] state, next_state;
    reg [7:0] out_byte_reg;
    reg done_reg;
    
    always @(*) begin
        state <= next_state;
    end
    
    always @(posedge clk) begin
        if(reset) begin
            out_byte_reg <= 0;
            done_reg <= 0;
        end
        else begin
            out_byte_reg <= out_byte;
            done_reg <= done;
        end
    end
    
    always @(*) begin
        next_state = state;
        case (state)
            3'b000: begin
                if(in)
                    next_state = 3'b001;
            end
            3'b001: begin
                if(in)
                    next_state = 3'b010;
            end
            3'b010: begin
                if(in)
                    next_state = 3'b011;
            end
            3'b011: begin
                if(in)
                    next_state = 3'b100;
            end
            3'b100: begin
                if(in)
                    next_state = 3'b101;
            end
            3'b101: begin
                if(in)
                    next_state = 3'b110;
            end
            3'b110: begin
                if(in)
                    next_state = 3'b111;
            end
            3'b111: begin
                if(~in)
                    next_state = 3'b000;
            end
            default: begin
                next_state = 3'b000;
            end
        endcase
    end
    
    assign done = (state == 3'b111)? 1 : 0;
    assign out_byte = out_byte_reg;
    
endmodule"
N/A,N/A,-0.1,10.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    
    parameter idle = 0, rec_data = 1, stop_bit = 2, overflow = 3;
    reg [1:0] state, next_state;
    reg [3:0] count;
    reg [7:0] rec_data_reg;
    reg [7:0] out_byte_reg;
    reg done_reg;
    
    always @(*) begin
        case (state)
            idle: begin
                if(~in)
                    next_state = rec_data;
                else
                    next_state = idle;
            end
            rec_data: begin
                if(count == 7)
                    next_state = stop_bit;
                else
                    next_state = rec_data;
            end
            stop_bit: begin
                if(in)
                    next_state = idle;
                else
                    next_state = overflow;
            end
            overflow: begin
                if(count == 7)
                    next_state = idle;
                else
                    next_state = overflow;
            end
            default: next_state = idle;
        endcase
    end
    
    always @(posedge clk) begin
        if(reset) begin
            state <= idle;
            count <= 0;
            rec_data_reg <= 0;
            out_byte_reg <= 0;
            done_reg <= 0;
        end
        else begin
            state <= next_state;
            case (next_state)
                idle: begin
                    count <= 0;
                    done_reg <= 0;
                end
                rec_data: begin
                    rec_data_reg[7] <= in;
                    count <= count + 1;
                end
                stop_bit: begin
                    out_byte_reg <= rec_data_reg;
                    done_reg <= 1;
                end
                overflow: begin
                    done_reg <= 1;
                end
            endcase
        end
    end
    
    assign done = done_reg;
    assign out_byte = out_byte_reg;
    
endmodule"
N/A,N/A,-0.1,11.0,1,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    
    // New: Datapath to latch input bits.
    
    reg [7:0] out_byte_reg;
    
    always @(posedge clk) begin
        if(reset)
            out_byte_reg <= 0;
        else begin
            if(in)
                out_byte_reg <= {out_byte_reg[6:0], 1'b0};
            else
                out_byte_reg <= out_byte_reg;
        end
    end
    
    assign done = (out_byte_reg == 8'h0);
    assign out_byte = done? out_byte_reg : out_byte_reg + 8'h01;
    
endmodule"
