Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-0.1,2.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    wire [31:0] sum_wire;
    wire cout_wire;

    assign sum_wire = in1 + in2 + cin;
    assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

    assign sum = sum_wire;
    assign cout = cout_wire;

endmodule"
N/A,N/A,-0.1,3.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    wire [31:0] sum_wire;
    wire cout_wire;

    assign sum_wire = in1 + in2 + cin;
    assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

    assign sum = sum_wire;
    assign cout = cout_wire;

endmodule"
N/A,N/A,-0.1,4.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    wire [31:0] sum_wire;
    wire cout_wire;

    assign sum_wire = in1 + in2 + cin;
    assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

    assign sum = sum_wire;
    assign cout = cout_wire;

endmodule"
N/A,N/A,-0.1,5.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

  wire [31:0] sum_wire;
  wire cout_wire;

  assign sum_wire = in1 + in2 + cin;
  assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

  assign sum = sum_wire;
  assign cout = cout_wire;

endmodule"
N/A,N/A,-1,6.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);	

	wire [31:0] sum_wire;
	wire cout_wire;
	
	assign sum = sum_wire;
	assign cout = cout_wire;
	
	adder_32_bit adder_32_bit_inst(sum_wire[0], cout_wire, in1[0], in2[0], cin);
	
	genvar i;
	generate
		for(i = 1; i < 32; i = i + 1) begin
			adder_32_bit adder_32_bit_inst(sum_wire[i], cout_wire, in1[i], in2[i], cout_wire);
		end
	endgenerate
	
endmodule"
N/A,N/A,-0.1,7.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    wire [31:0] sum_wire;
    wire cout_wire;

    assign sum_wire = in1 + in2 + cin;
    assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

    assign sum = sum_wire;
    assign cout = cout_wire;

endmodule"
N/A,N/A,-0.1,8.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

reg [31:0] sum_reg;
reg cout_reg;

always @(*) begin
    sum_reg = in1 + in2 + cin;
    cout_reg = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);
end

assign sum = sum_reg;
assign cout = cout_reg;

endmodule"
N/A,N/A,-0.1,9.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    assign sum = in1 + in2 + cin;
    assign cout = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

endmodule"
N/A,N/A,-0.1,10.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
    wire [31:0] sum_wire;
    wire cout_wire;

    assign sum_wire = in1 + in2 + cin;
    assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

    assign sum = sum_wire;
    assign cout = cout_wire;

endmodule"
N/A,N/A,-0.1,11.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

assign sum = in1 + in2 + cin;
assign cout = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

endmodule"
N/A,N/A,-0.1,12.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

  wire [31:0] sum_wire;
  wire cout_wire;

  assign sum_wire = in1 + in2 + cin;
  assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

  assign sum = sum_wire;
  assign cout = cout_wire;

endmodule"
N/A,N/A,-0.1,13.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
    
    wire [31:0] sum_wire;
    wire cout_wire;
    
    assign sum_wire = in1 + in2 + cin;
    assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);
    
    assign sum = sum_wire;
    assign cout = cout_wire;
    
endmodule"
N/A,N/A,-0.1,14.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    wire [31:0] sum_wire;
    wire cout_wire;

    assign sum_wire = in1 + in2 + cin;
    assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

    assign sum = sum_wire;
    assign cout = cout_wire;

endmodule"
N/A,N/A,-0.1,15.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  
  wire [31:0] sum_wire;
  wire cout_wire;
  
  assign sum_wire = in1 + in2 + cin;
  assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);
  
  assign sum = sum_wire;
  assign cout = cout_wire;
  
endmodule"
N/A,N/A,-1,16.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

wire [31:0] sum_wire;
wire cout_wire;

assign sum = sum_wire;
assign cout = cout_wire;

full_adder fa0(sum_wire[0], cout_wire, in1[0], in2[0], cin);
full_adder fa1(sum_wire[1], cout_wire, in1[1], in2[1], cout_wire);
full_adder fa2(sum_wire[2], cout_wire, in1[2], in2[2], cout_wire);
full_adder fa3(sum_wire[3], cout_wire, in1[3], in2[3], cout_wire);
full_adder fa4(sum_wire[4], cout_wire, in1[4], in2[4], cout_wire);
full_adder fa5(sum_wire[5], cout_wire, in1[5], in2[5], cout_wire);
full_adder fa6(sum_wire[6], cout_wire, in1[6], in2[6], cout_wire);
full_adder fa7(sum_wire[7], cout_wire, in1[7], in2[7], cout_wire);
full_adder fa8(sum_wire[8], cout_wire, in1[8], in2[8], cout_wire);
full_adder fa9(sum_wire[9], cout_wire, in1[9], in2[9], cout_wire);
full_adder fa10(sum_wire[10], cout_wire, in1[10], in2[10], cout_wire);
full_adder fa11(sum_wire[11], cout_wire, in1[11], in2[11], cout_wire);
full_adder fa12(sum_wire[12], cout_wire, in1[12], in2[12], cout_wire);
full_adder fa13(sum_wire[13], cout_wire, in1[13], in2[13], cout_wire);
full_adder fa14(sum_wire[14], cout_wire, in1[14], in2[14], cout_wire);
full_adder fa15(sum_wire[15], cout_wire, in1[15], in2[15], cout_wire);
full_adder fa16(sum_wire[16], cout_wire, in1[16], in2[16], cout_wire);
full_adder fa17(sum_wire[17], cout_wire, in1[17], in2[17], cout_wire);
full_adder fa18(sum_wire[18], cout_wire, in1[18], in2[18], cout_wire);
full_adder fa19(sum_wire[19], cout_wire, in1[19], in2[19], cout_wire);
full_adder fa20(sum_wire[20], cout_wire, in1[20], in2[20], cout_wire);
full_adder fa21(sum_wire[21], cout_wire, in1[21], in2[21], cout_wire);
full_adder fa22(sum_wire[22], cout_wire, in1[22], in2[22], cout_wire);
full_adder fa23(sum_wire[23], cout_wire, in1[23], in2[23], cout_wire);
full_adder fa24(sum_wire[24], cout_wire, in1[24], in2[24], cout_wire);
full_adder fa25(sum_wire[25], cout_wire, in1[25], in2[25], cout_wire);
full_adder fa26(sum_wire[26], cout_wire, in1[26], in2[26], cout_wire);
full_adder fa27(sum_wire[27], cout_wire, in1[27], in2[27], cout_wire);
full_adder fa28(sum_wire[28], cout_wire, in1[28], in2[28], cout_wire);
full_adder fa29(sum_wire[29], cout_wire, in1[29], in2[29], cout_wire);
full_adder fa30(sum_wire[30], cout_wire, in1[30], in2[30], cout_wire);
full_adder fa31(sum_wire[31], cout_wire, in1[31], in2[31], cout_wire);

endmodule"
N/A,N/A,-0.1,17.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

    reg [31:0] sum_reg;
    reg cout_reg;

    always @(*) begin
        sum_reg = in1 + in2 + cin;
        cout_reg = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);
    end

    assign sum = sum_reg;
    assign cout = cout_reg;

endmodule"
N/A,N/A,-0.1,18.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
    wire [31:0] sum_wire;
    wire cout_wire;

    assign sum_wire = in1 + in2 + cin;
    assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

    assign sum = sum_wire;
    assign cout = cout_wire;

endmodule"
N/A,N/A,-0.1,19.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

   assign sum = in1 + in2 + cin;
   assign cout = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

endmodule"
N/A,N/A,-0.1,20.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);
  wire [31:0] sum_wire;
  wire cout_wire;

  assign sum_wire = in1 + in2 + cin;
  assign cout_wire = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);

  assign sum = sum_wire;
  assign cout = cout_wire;

endmodule"
N/A,N/A,-1,21.0,1,"//Design a 32-bit adder.
//There are two 32 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 32 bit value, [31:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_32(output [31:0] sum,
                      output cout,
                      input [31:0] in1, in2,
                      input cin);

always @(*) begin
    sum = in1 + in2 + cin;
    cout = (in1[31] & in2[31]) | (in1[31] & cin) | (in2[31] & cin);
end

endmodule"
