Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,2.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_bin, m_bin, s_bin;
    wire [3:0] h_bcd, m_bcd, s_bcd;
    wire [3:0] h_dec, m_dec, s_dec;
    
    bin_to_decimal u1(.bin(h_bin),.dec(h_dec));
    bin_to_decimal u2(.bin(m_bin),.dec(m_dec));
    bin_to_decimal u3(.bin(s_bin),.dec(s_dec));
    
    bcd_to_7seg u4(.bcd(h_bcd),.seg(h_dec));
    bcd_to_7seg u5(.bcd(m_bcd),.seg(m_dec));
    bcd_to_7seg u6(.bcd(s_bcd),.seg(s_dec));
    
    reg [3:0] h_reg, m_reg, s_reg;
    
    always @(posedge clk) begin
        if (reset) begin
            h_reg <= 4'b0000;
            m_reg <= 4'b0000;
            s_reg <= 4'b0000;
        end
        else if (ena) begin
            h_reg <= h_bin;
            m_reg <= m_bin;
            s_reg <= s_bin;
        end
    end
    
    assign hh = h_reg;
    assign mm = m_reg;
    assign ss = s_reg;
    
    assign pm = h_reg > 11;
    
endmodule"
N/A,N/A,-1,3.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out, s_out;
    
    bcd_to_7seg h_to_s(.in(h_out),.out(s_out));
    bcd_to_7seg m_to_s(.in(m_out),.out(s_out));
    
    // Instantiate the three modules
    clock_divider #(.N(1)) clk_div(.clk(clk),.reset(reset),.enable(ena),.q(clk_out));
    bcd_to_7seg hour(.in(h_out),.out(hh));
    bcd_to_7seg minute(.in(m_out),.out(mm));
    bcd_to_7seg second(.in(s_out),.out(ss));
    
    assign pm = (h_out == 4'd11)? 1'b1 : 1'b0;
    
endmodule"
N/A,N/A,-1,4.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] c_en, c_pm;
    wire [3:0] c_hh, c_mm, c_ss;
    
    count_ss c_ss1(clk, reset, c_en, c_ss);
    count_mm c_mm1(clk, reset, c_en, c_mm);
    count_hh c_hh1(clk, reset, c_en, c_hh);
    count_pm c_pm1(clk, reset, c_en, c_pm);
    
    assign ss = c_ss;
    assign mm = c_mm;
    assign hh = c_hh;
    assign pm = c_pm;
    
endmodule"
N/A,N/A,-1,5.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] c_en, c_pm;
    wire [3:0] c_hh, c_mm, c_ss;
    
    count_ss c_ss1(clk, reset, c_en, c_ss);
    count_mm c_mm1(clk, reset, c_en, c_mm);
    count_hh c_hh1(clk, reset, c_en, c_hh);
    count_pm c_pm1(clk, reset, c_en, c_pm);
    
    assign ss = c_ss;
    assign mm = c_mm;
    assign hh = c_hh;
    assign pm = c_pm;
    
endmodule"
N/A,N/A,-1,6.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    
    clk_wiz_0 clk_wiz_0(
      .clk_in1(clk),
      .clk_out1(clk_out)
    );
    
    clk_divider #(12500000) clk_divider_0(
      .clk_in(clk_out),
      .reset(reset),
      .enable(ena),
      .clk_out(clk_out)
    );
    
    reg [5:0] ss_r=0;
    reg [5:0] mm_r=0;
    reg [5:0] hh_r=0;
    
    always@(posedge clk_out) begin
        if(reset) begin
            ss_r <= 0;
            mm_r <= 0;
            hh_r <= 0;
        end
        else begin
            if(ena) begin
                ss_r <= ss_r + 1;
                if(ss_r == 59) begin
                    ss_r <= 0;
                    mm_r <= mm_r + 1;
                    if(mm_r == 59) begin
                        mm_r <= 0;
                        hh_r <= hh_r + 1;
                        if(hh_r == 13) begin
                            hh_r <= 0;
                        end
                    end
                end
            end
        end
    end
    
    assign ss = ss_r;
    assign mm = mm_r;
    assign hh = hh_r;
    assign pm = (hh_r > 11);
    
endmodule"
N/A,N/A,-1,7.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    
    clk_wiz_0 clk_wiz_0(
      .clk_in1(clk),
      .clk_out1(clk_out)
    );
    
    clk_divider #(12500000) clk_divider_0(
      .clk_in(clk_out),
      .reset(reset),
      .enable(ena),
      .clk_out(clk_out)
    );
    
    reg [5:0] ss_r=0;
    reg [5:0] mm_r=0;
    reg [5:0] hh_r=0;
    
    always@(posedge clk_out) begin
        if(reset) begin
            ss_r <= 0;
            mm_r <= 0;
            hh_r <= 0;
        end
        else begin
            if(ena) begin
                ss_r <= ss_r + 1;
                if(ss_r == 59) begin
                    ss_r <= 0;
                    mm_r <= mm_r + 1;
                    if(mm_r == 59) begin
                        mm_r <= 0;
                        hh_r <= hh_r + 1;
                        if(hh_r == 13) begin
                            hh_r <= 0;
                        end
                    end
                end
            end
        end
    end
    
    assign ss = ss_r;
    assign mm = mm_r;
    assign hh = hh_r;
    assign pm = (hh_r > 11);
    
endmodule"
N/A,N/A,-0.1,8.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out, s_out;
    
    assign h_out = (h_reg == 12)? h_reg : h_reg + 1;
    assign m_out = (m_reg == 60)? m_reg : m_reg + 1;
    assign s_out = (s_reg == 60)? s_reg : s_reg + 1;
    
    reg [3:0] h_reg, m_reg, s_reg;
    
    assign hh = h_reg;
    assign mm = m_reg;
    assign ss = s_reg;
    
    assign pm = (h_reg == 12) & (m_reg == 0) & (s_reg == 0);
    
    always @(posedge clk) begin
        if (reset) begin
            h_reg <= 0;
            m_reg <= 0;
            s_reg <= 0;
        end
        else begin
            if (ena) begin
                h_reg <= h_out;
                m_reg <= m_out;
                s_reg <= s_out;
            end
        end
    end
endmodule"
N/A,N/A,-0.1,9.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out, s_out;
    
    assign h_out = (h_reg == 12)? h_reg : h_reg + 1;
    assign m_out = (m_reg == 60)? m_reg : m_reg + 1;
    assign s_out = (s_reg == 60)? s_reg : s_reg + 1;
    
    reg [3:0] h_reg, m_reg, s_reg;
    
    assign hh = h_reg;
    assign mm = m_reg;
    assign ss = s_reg;
    
    assign pm = (h_reg == 12) & (m_reg == 0) & (s_reg == 0);
    
    always @(posedge clk) begin
        if (reset) begin
            h_reg <= 0;
            m_reg <= 0;
            s_reg <= 0;
        end
        else begin
            if (ena) begin
                h_reg <= h_out;
                m_reg <= m_out;
                s_reg <= s_out;
            end
        end
    end
endmodule"
N/A,N/A,-1,10.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    wire [7:0] hh_out;
    wire [7:0] mm_out;
    wire [7:0] ss_out;
    
    clk_wiz_0 my_clk_inst (
      .clk_out1(clk_out), 
      .clk_in1(clk), 
      .reset1(reset), 
      .ena1(ena)
    );
    
    hour_counter hh_counter(
      .clk(clk_out),
      .reset(reset),
      .ena(1'b1),
      .h24(hh_out)
    );
    
    min_counter mm_counter(
      .clk(clk_out),
      .reset(reset),
      .ena(1'b1),
      .h24(hh_out),
      .m60(mm_out)
    );
    
    sec_counter ss_counter(
      .clk(clk_out),
      .reset(reset),
      .ena(1'b1),
      .h24(hh_out),
      .m60(mm_out),
      .s60(ss_out)
    );
    
    assign pm = ss_out[3:0] > 4'd11;
    assign hh = hh_out;
    assign mm = mm_out;
    assign ss = ss_out;
    
endmodule"
N/A,N/A,-1,11.0,1,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire clk_out;
    wire [7:0] hh_out;
    wire [7:0] mm_out;
    wire [7:0] ss_out;
    
    clk_wiz_0 my_clk_inst (
      .clk_out1(clk_out), 
      .clk_in1(clk), 
      .reset1(reset), 
      .ena1(ena)
    );
    
    hour_counter hh_counter(
      .clk(clk_out),
      .reset(reset),
      .ena(1'b1),
      .h24(hh_out)
    );
    
    min_counter mm_counter(
      .clk(clk_out),
      .reset(reset),
      .ena(1'b1),
      .h24(hh_out),
      .m60(mm_out)
    );
    
    sec_counter ss_counter(
      .clk(clk_out),
      .reset(reset),
      .ena(1'b1),
      .h24(hh_out),
      .m60(mm_out),
      .s60(ss_out)
    );
    
    assign pm = ss_out[3:0] > 4'd11;
    assign hh = hh_out;
    assign mm = mm_out;
    assign ss = ss_out;
    
endmodule"
