Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,0,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_in, m_in, s_in;
    wire [3:0] h_out, m_out, s_out;
    
    // count up or down
    reg direction_signal;
    // count up or down
    reg [7:0] h_count, m_count, s_count;
    
    // output
    reg [3:0] h_out_final, m_out_final, s_out_final;
    
    // direction signal
    always @(posedge clk) begin
        if (reset) direction_signal <= 1'b1;
        else if (ena) direction_signal <= ~direction_signal;
    end
    
    // output
    always @(posedge clk) begin
        if (reset) begin
            h_out_final <= 4'd0;
            m_out_final <= 4'd0;
            s_out_final <= 4'd0;
        end
        else if (ena) begin
            h_out_final <= h_out;
            m_out_final <= m_out;
            s_out_final <= s_out;
        end
    end
    
    // count up or down
    always @(posedge clk) begin
        if (reset) begin
            h_count <= 8'd0;
            m_count <= 8'd0;
            s_count <= 8'd0;
        end
        else if (ena) begin
            if (direction_signal) begin
                h_count <= h_count + 8'd1;
                m_count <= m_count + 8'd1;
                s_count <= s_count + 8'd1;
            end
            else begin
                h_count <= h_count - 8'd1;
                m_count <= m_count - 8'd1;
                s_count <= s_count - 8'd1;
            end
        end
    end
    
    // output
    assign hh = h_count;
    assign mm = m_count;
    assign ss = s_count;
    
    // pm
    assign pm = (h_count == 8'd11) && (m_count == 8'd59) && (s_count == 8'd59);
    
endmodule"
N/A,N/A,-1,1,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_in, m_in, s_in;
    wire [3:0] h_out, m_out, s_out;
    
    // count up or down
    reg direction_signal;
    // count up or down
    reg [7:0] h_count, m_count, s_count;
    
    // output
    reg [3:0] h_out_final, m_out_final, s_out_final;
    
    // direction signal
    always @(posedge clk) begin
        if (reset) direction_signal <= 1'b1;
        else if (ena) direction_signal <= ~direction_signal;
    end
    
    // output
    always @(posedge clk) begin
        if (reset) begin
            h_out_final <= 4'd0;
            m_out_final <= 4'd0;
            s_out_final <= 4'd0;
        end
        else if (ena) begin
            h_out_final <= h_out;
            m_out_final <= m_out;
            s_out_final <= s_out;
        end
    end
    
    // count up or down
    always @(posedge clk) begin
        if (reset) begin
            h_count <= 8'd0;
            m_count <= 8'd0;
            s_count <= 8'd0;
        end
        else if (ena) begin
            if (direction_signal) begin
                h_count <= h_count + 8'd1;
                m_count <= m_count + 8'd1;
                s_count <= s_count + 8'd1;
            end
            else begin
                h_count <= h_count - 8'd1;
                m_count <= m_count - 8'd1;
                s_count <= s_count - 8'd1;
            end
        end
    end
    
    // output
    assign hh = h_count;
    assign mm = m_count;
    assign ss = s_count;
    
    // pm
    assign pm = (h_count == 8'd11) && (m_count == 8'd59) && (s_count == 8'd59);
    
endmodule"
N/A,N/A,-1,2,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_in, m_in, s_in;
    wire [3:0] h_out, m_out, s_out;
    
    assign h_in = hh;
    assign m_in = mm;
    assign s_in = ss;
    
    bcd_to_7seg bcd_to_7seg_h(.in(h_in),.out(h_out));
    bcd_to_7seg bcd_to_7seg_m(.in(m_in),.out(m_out));
    bcd_to_7seg bcd_to_7seg_s(.in(s_in),.out(s_out));
    
    assign pm = (h_in == 12 && m_in == 0 && s_in == 0)? 1'b1 : 1'b0;
    assign hh = (h_in == 12 && m_in == 0 && s_in == 0)? h_out : 8'b0;
    assign mm = (h_in == 12 && m_in == 0 && s_in == 0)? m_out : 8'b0;
    assign ss = (h_in == 12 && m_in == 0 && s_in == 0)? s_out : 8'b0;
    
endmodule"
N/A,N/A,-1,3,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_in, m_in, s_in;
    wire [3:0] h_out, m_out, s_out;
    
    assign h_in = hh;
    assign m_in = mm;
    assign s_in = ss;
    
    bcd_to_7seg bcd_to_7seg_h(.in(h_in),.out(h_out));
    bcd_to_7seg bcd_to_7seg_m(.in(m_in),.out(m_out));
    bcd_to_7seg bcd_to_7seg_s(.in(s_in),.out(s_out));
    
    assign pm = (h_in == 12 && m_in == 0 && s_in == 0)? 1'b1 : 1'b0;
    assign hh = (h_in == 12 && m_in == 0 && s_in == 0)? h_out : 8'b0;
    assign mm = (h_in == 12 && m_in == 0 && s_in == 0)? m_out : 8'b0;
    assign ss = (h_in == 12 && m_in == 0 && s_in == 0)? s_out : 8'b0;
    
endmodule"
N/A,N/A,-1,4,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_in, m_in, s_in;
    wire [3:0] h_out, m_out, s_out;
    
    assign h_in = hh;
    assign m_in = mm;
    assign s_in = ss;
    
    bcd_to_7seg bcd_to_7seg_h(.in(h_in),.out(h_out));
    bcd_to_7seg bcd_to_7seg_m(.in(m_in),.out(m_out));
    bcd_to_7seg bcd_to_7seg_s(.in(s_in),.out(s_out));
    
    assign pm = (h_in == 12 && m_in == 0 && s_in == 0)? 1'b1 : 1'b0;
    assign hh = (h_in == 12 && m_in == 0 && s_in == 0)? h_out : 8'b0;
    assign mm = (h_in == 12 && m_in == 0 && s_in == 0)? m_out : 8'b0;
    assign ss = (h_in == 12 && m_in == 0 && s_in == 0)? s_out : 8'b0;
    
endmodule"
N/A,N/A,-1,5,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out, s_out;
    
    bcd_to_7seg h_reg(.BCD(h_out),.seg(hh));
    bcd_to_7seg m_reg(.BCD(m_out),.seg(mm));
    bcd_to_7seg s_reg(.BCD(s_out),.seg(ss));
    
    wire [3:0] h_next, m_next, s_next;
    
    assign h_next = (ena)? (h_out + 1) : 4'b0;
    assign m_next = (ena)? (m_out + 1) : 4'b0;
    assign s_next = (ena)? (s_out + 1) : 4'b0;
    
    always @(posedge clk) begin
        if(reset) begin
            h_out <= 4'b0;
            m_out <= 4'b0;
            s_out <= 4'b0;
        end
        else begin
            h_out <= h_next;
            m_out <= m_next;
            s_out <= s_next;
        end
    end
    
    assign pm = (h_out == 4'b0) && (m_out == 4'b0)? 1'b0 : 1'b1;
    assign hh = h_out;
    assign mm = m_out;
    assign ss = s_out;
    
endmodule"
N/A,N/A,-1,6,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out;
    
    bcd_to_7seg bcd_to_7seg_h(.in(hh),.out(h_out));
    bcd_to_7seg bcd_to_7seg_m(.in(mm),.out(m_out));
    
    reg pm_out;
    
    always @(posedge clk) begin
        if(reset) begin
            pm_out <= 0;
        end
        else begin
            if(ena) begin
                if(pm) begin
                    pm_out <= ~pm_out;
                end
            end
        end
    end
    
    assign pm = pm_out;
    assign hh = h_out;
    assign mm = m_out;
    assign ss = {1'b0, m_out};
    
endmodule"
N/A,N/A,-1,7,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out;
    
    bcd_to_7seg bcd_to_7seg_h(.in(hh),.out(h_out));
    bcd_to_7seg bcd_to_7seg_m(.in(mm),.out(m_out));
    
    reg pm_out;
    
    always @(posedge clk) begin
        if(reset) begin
            pm_out <= 0;
        end
        else begin
            if(ena) begin
                if(pm) begin
                    pm_out <= ~pm_out;
                end
            end
        end
    end
    
    assign pm = pm_out;
    assign hh = h_out;
    assign mm = m_out;
    assign ss = {1'b0, m_out};
    
endmodule"
N/A,N/A,-1,8,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out;
    
    bcd_to_7seg bcd_to_7seg_h(.in(hh),.out(h_out));
    bcd_to_7seg bcd_to_7seg_m(.in(mm),.out(m_out));
    
    reg pm_out;
    
    always @(posedge clk) begin
        if(reset) begin
            pm_out <= 0;
        end
        else begin
            if(ena) begin
                if(pm) begin
                    pm_out <= ~pm_out;
                end
            end
        end
    end
    
    assign pm = pm_out;
    assign hh = h_out;
    assign mm = m_out;
    assign ss = {1'b0, m_out};
    
endmodule"
N/A,N/A,-1,9,0,"// Create a set of counters suitable for use as a 12-hour clock (with am/pm indicator). Your counters are clocked by a fast-running clk, with a pulse on ena whenever your clock should increment (i.e., once per second).

// reset resets the clock to 12:00 AM. pm is 0 for AM and 1 for PM. hh, mm, and ss are two BCD (Binary-Coded Decimal) digits each for hours (01-12), minutes (00-59), and seconds (00-59). Reset has higher priority than enable, and can occur even when not enabled.

// Hint: Note that 11:59:59 PM advances to 12:00:00 AM, and 12:59:59 PM advances to 01:00:00 PM. There is no 00:00:00.

module top_module(
    input clk,
    input reset,
    input ena,
    output pm,
    output [7:0] hh,
    output [7:0] mm,
    output [7:0] ss);
    
    wire [3:0] h_out, m_out;
    
    bcd_to_7seg bcd_to_7seg_h(.in(hh),.out(h_out));
    bcd_to_7seg bcd_to_7seg_m(.in(mm),.out(m_out));
    
    reg pm_out;
    
    always @(posedge clk) begin
        if(reset) begin
            pm_out <= 0;
        end
        else begin
            if(ena) begin
                if(pm) begin
                    pm_out <= ~pm_out;
                end
            end
        end
    end
    
    assign pm = pm_out;
    assign hh = h_out;
    assign mm = m_out;
    assign ss = {1'b0, m_out};
    
endmodule"
