Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,0,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    // Use FSM from Fsm_serialdata
    // New: Add parity checking.
    
    parameter idle = 0, rec_data = 1, stop_bit = 2;
    reg [1:0] state, next_state;
    reg [3:0] counter;
    reg odd;
    
    always @(posedge clk)
        if (reset)
            state <= idle;
        else
            state <= next_state;
    
    always @(*)
        case (state)
            idle:
                if (in)
                    next_state = rec_data;
                else
                    next_state = idle;
            rec_data:
                if (counter == 8)
                    next_state = stop_bit;
                else
                    next_state = rec_data;
            stop_bit:
                if (in)
                    next_state = idle;
                else
                    next_state = idle;
            default:
                next_state = idle;
        endcase
    
    always @(posedge clk)
        if (reset)
            counter <= 4'b0;
        else if (state == rec_data && in)
            counter <= counter + 4'b1;
    
    assign done = (state == stop_bit) && (counter == 8);
    
    assign out_byte = {in, odd};
    
    always @(posedge clk)
        if (reset)
            odd <= 0;
        else if (state == rec_data && in)
            odd <= ~odd;

endmodule"
N/A,N/A,-1,1,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.
    
    parameter idle = 3'b000;
    parameter start = 3'b001;
    parameter data = 3'b010;
    parameter stop = 3'b011;
    parameter end = 3'b100;
    
    reg [2:0] state, next_state;
    reg [8:0] counter;
    reg odd;
    reg out;
    
    always @(posedge clk)
        if (reset)
            state <= idle;
        else
            state <= next_state;
    
    always @(*)
        case (state)
            idle:
                if (in)
                    next_state = start;
                else
                    next_state = idle;
            start:
                if (counter == 9'd254)
                    next_state = data;
                else
                    next_state = start;
            data:
                if (counter == 9'd254)
                    next_state = stop;
                else
                    next_state = data;
            stop:
                if (counter == 9'd255)
                    next_state = end;
                else
                    next_state = stop;
            endcase
    
    always @(posedge clk)
        if (reset)
            counter <= 0;
        else if (state == data)
            counter <= counter + 1;
        else
            counter <= 0;
    
    always @(posedge clk)
        if (reset)
            out_byte <= 0;
        else if (state == data)
            if (counter[0])
                out_byte[7:0] <= in;
            else
                out_byte[7:0] <= out_byte[7:0];
    
    always @(posedge clk)
        if (reset)
            done <= 0;
        else if (state == end)
            done <= 1;
        else
            done <= 0;
    
    always @(posedge clk)
        if (reset)
            odd <= 0;
        else if (state == data)
            if (counter[0])
                odd <= odd ^ in;
            else
                odd <= odd;
    
    always @(*)
        case (state)
            idle:
                out = 0;
            start:
                out = 0;
            data:
                out = in;
            stop:
                out = odd;
            endcase

endmodule"
N/A,N/A,-1,2,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.
    
    parameter idle = 3'b000;
    parameter start = 3'b001;
    parameter data = 3'b010;
    parameter stop = 3'b011;
    parameter end = 3'b100;
    
    reg [2:0] state, next_state;
    reg [8:0] counter;
    reg odd;
    reg out;
    
    always @(posedge clk)
        if (reset)
            state <= idle;
        else
            state <= next_state;
    
    always @(*)
        case (state)
            idle:
                if (in)
                    next_state = start;
                else
                    next_state = idle;
            start:
                if (counter == 9'd254)
                    next_state = data;
                else
                    next_state = start;
            data:
                if (counter == 9'd254)
                    next_state = stop;
                else
                    next_state = data;
            stop:
                if (counter == 9'd255)
                    next_state = end;
                else
                    next_state = stop;
            endcase
    
    always @(posedge clk)
        if (reset)
            counter <= 0;
        else if (state == data)
            counter <= counter + 1;
        else
            counter <= 0;
    
    always @(posedge clk)
        if (reset)
            out_byte <= 0;
        else if (state == data)
            if (counter[0])
                out_byte[7:0] <= in;
            else
                out_byte[7:0] <= out_byte[7:0];
    
    always @(posedge clk)
        if (reset)
            done <= 0;
        else if (state == end)
            done <= 1;
        else
            done <= 0;
    
    always @(posedge clk)
        if (reset)
            odd <= 0;
        else if (state == data)
            if (counter[0])
                odd <= odd ^ in;
            else
                odd <= odd;
    
    always @(*)
        case (state)
            idle:
                out = 0;
            start:
                out = 0;
            data:
                out = in;
            stop:
                out = odd;
            endcase

endmodule"
N/A,N/A,-1,3,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.
    
    parameter idle = 3'b000;
    parameter start = 3'b001;
    parameter data = 3'b010;
    parameter stop = 3'b011;
    parameter end = 3'b100;
    
    reg [2:0] state, next_state;
    reg [8:0] counter;
    reg odd;
    reg out;
    
    always @(posedge clk)
        if (reset)
            state <= idle;
        else
            state <= next_state;
    
    always @(*)
        case (state)
            idle:
                if (in)
                    next_state = start;
                else
                    next_state = idle;
            start:
                if (counter == 9'd254)
                    next_state = data;
                else
                    next_state = start;
            data:
                if (counter == 9'd254)
                    next_state = stop;
                else
                    next_state = data;
            stop:
                if (counter == 9'd255)
                    next_state = end;
                else
                    next_state = stop;
            endcase
    
    always @(posedge clk)
        if (reset)
            counter <= 0;
        else if (state == data)
            counter <= counter + 1;
        else
            counter <= 0;
    
    always @(posedge clk)
        if (reset)
            out_byte <= 0;
        else if (state == data)
            if (counter[0])
                out_byte[7:0] <= in;
            else
                out_byte[7:0] <= out_byte[7:0];
    
    always @(posedge clk)
        if (reset)
            done <= 0;
        else if (state == end)
            done <= 1;
        else
            done <= 0;
    
    always @(posedge clk)
        if (reset)
            odd <= 0;
        else if (state == data)
            if (counter[0])
                odd <= odd ^ in;
            else
                odd <= odd;
    
    always @(*)
        case (state)
            idle:
                out = 0;
            start:
                out = 0;
            data:
                out = in;
            stop:
                out = odd;
            endcase

endmodule"
N/A,N/A,-1,4,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    parameter START = 3'd0, DATA = 3'd1, PARITY = 3'd2, STOP = 3'd3, DELAY = 3'd4;
    reg [2:0] state, next_state;
    reg [8:0] counter;
    reg odd;
    
    always @(posedge clk)
        if (reset)
            state <= START;
        else
            state <= next_state;
    
    always @(*)
        case (state)
            START: begin
                done = 0;
                next_state = DATA;
                counter = 9'd0;
                odd = 0;
            end
            DATA: begin
                done = 0;
                if(in)
                    next_state = DATA;
                else
                    next_state = PARITY;
            end
            PARITY: begin
                done = 0;
                next_state = STOP;
            end
            STOP: begin
                done = 1;
                next_state = DELAY;
            end
            DELAY: begin
                done = 0;
                if(counter > 9'd5)
                    next_state = START;
                else
                    next_state = DATA;
            end
            default: next_state = START;
        endcase
    
    always @(posedge clk)
        if(reset)
            counter <= 9'd0;
        else if(state == DATA)
            counter <= counter + 9'd1;
        else
            counter <= 9'd0;
    
    assign out_byte = {in, odd};

endmodule"
N/A,N/A,-1,5,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serialdata
    // New: Add parity checking.
    
    parity p1(clk, reset, in, odd);
    
    // New: Add serial output byte stream.
    
    serialdata s1(clk, reset, odd, in, out_byte, done);
    
endmodule"
N/A,N/A,-1,6,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    parameter START = 3'd0, DATA = 3'd1, PARITY = 3'd2, STOP = 3'd3, DELAY = 3'd4;
    reg [2:0] state, next_state;
    reg [8:0] counter;
    reg odd;
    reg [7:0] out;
    
    always @(posedge clk)
        if(reset)
            state <= START;
        else
            state <= next_state;
            
    always @(*)
        case (state)
            START: begin
                if(in)
                    next_state = DATA;
                else
                    next_state = START;
            end
            DATA: begin
                if(counter == 9'd255)
                    next_state = PARITY;
                else
                    next_state = DATA;
            end
            PARITY: begin
                if(counter == 9'd255)
                    next_state = STOP;
                else
                    next_state = PARITY;
            end
            STOP: begin
                if(counter == 9'd255)
                    next_state = DELAY;
                else
                    next_state = STOP;
            end
            DELAY: begin
                if(counter == 9'd255)
                    next_state = START;
                else
                    next_state = DELAY;
            end
            default: next_state = START;
        endcase
        
    always @(posedge clk)
        if(reset)
            counter <= 0;
        else if(next_state == DATA)
            counter <= counter + 1;
        else
            counter <= 0;
            
    always @(posedge clk)
        if(reset)
            out_byte <= 0;
        else if(next_state == PARITY)
            out_byte <= {out, odd};
        else
            out_byte <= out_byte;
            
    always @(posedge clk)
        if(reset)
            done <= 0;
        else if(next_state == DELAY)
            done <= 1;
        else
            done <= 0;
            
    always @(posedge clk)
        if(reset)
            odd <= 0;
        else if(next_state == PARITY)
            odd <= odd ^ in;
        else
            odd <= 0;

endmodule"
N/A,N/A,-1,7,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    // Use FSM from Fsm_serialdata
    // New: Add parity checking.
    
    parameter idle = 0, rec_data = 1, stop_bit = 2;
    reg [1:0] state, next_state;
    reg [3:0] counter;
    reg odd;
    
    always @(posedge clk)
        if (reset)
            state <= idle;
        else
            state <= next_state;
    
    always @(*)
        case (state)
            idle:
                if (in)
                    next_state = rec_data;
                else
                    next_state = idle;
            rec_data:
                if (counter < 9)
                    next_state = rec_data;
                else
                    next_state = stop_bit;
            stop_bit:
                if (counter < 9)
                    next_state = idle;
                else
                    next_state = idle;
            default:
                next_state = idle;
        endcase
    
    always @(posedge clk)
        if (reset)
            counter <= 0;
        else if (state == rec_data && in)
            counter <= counter + 1;
        else if (state == stop_bit)
            counter <= 0;
    
    assign done = (state == stop_bit) && (counter < 9);
    
    // New: Add parity checking.
    parity p1(clk, reset, in, odd);
    
    always @(posedge clk)
        if (reset)
            out_byte <= 8'h0;
        else if (state == rec_data)
            out_byte[counter] <= in ^ odd;

endmodule"
N/A,N/A,-1,8,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    // Use FSM from Fsm_serialdata
    // New: Add parity checking.
    
    parameter idle = 0, rec_data = 1, stop_bit = 2, rec_stop_bit = 3;
    reg [1:0] state, next_state;
    
    parity checker(clk, reset, in, odd);
    
    always @(posedge clk)
        if (reset) state <= idle;
        else state <= next_state;
    
    always @(*)
        case (state)
            idle:
                if (in) next_state = rec_data;
                else next_state = idle;
            rec_data:
                if (odd) next_state = stop_bit;
                else next_state = rec_data;
            stop_bit:
                if (in) next_state = rec_stop_bit;
                else next_state = idle;
            rec_stop_bit:
                next_state = idle;
            default:
                next_state = idle;
        endcase
    
    // New: Add parity checking.
    assign done = (state == rec_stop_bit);
    
    // New: Add parity checking.
    assign out_byte = (state == rec_data)? {in, odd} : 8'b0;
    
endmodule"
N/A,N/A,-1,9,0,"// We want to add parity checking to the serial receiver. Parity checking adds one extra bit after each data byte. We will use odd parity, where the number of 1s in the 9 bits received must be odd. For example, 101001011 satisfies odd parity (there are 5 1s), but 001001011 does not.

// Change your FSM and datapath to perform odd parity checking. Assert the done signal only if a byte is correctly received and its parity check passes. Like the serial receiver FSM, this FSM needs to identify the start bit, wait for all 9 (data and parity) bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.

// You are provided with the following module that can be used to calculate the parity of the input stream (It's a TFF with reset). The intended use is that it should be given the input bit stream, and reset at appropriate times so it counts the number of 1 bits in each byte.
    // Modify FSM and datapath from Fsm_serialdata
    // New: Add parity checking.

module parity (
    input clk,
    input reset,
    input in,
    output reg odd);

    always @(posedge clk)
        if (reset) odd <= 0;
        else if (in) odd <= ~odd;

endmodule

// Note that the serial protocol sends the least significant bit first, and the parity bit after the 8 data bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    // Use FSM from Fsm_serialdata
    // New: Add parity checking.
    
    parameter idle = 0, rec_data = 1, stop_bit = 2;
    reg [1:0] state, next_state;
    reg odd;
    
    always @(posedge clk)
        if (reset) state <= idle;
        else state <= next_state;
    
    always @(*)
        case (state)
            idle:
                if (in) next_state = rec_data;
                else next_state = idle;
            rec_data:
                if (in) next_state = rec_data;
                else next_state = stop_bit;
            stop_bit:
                if (in) next_state = idle;
                else next_state = idle;
            default: next_state = idle;
        endcase
    
    assign done = (state == stop_bit);
    
    // New: Add parity checking.
    
    always @(posedge clk)
        if (reset) odd <= 1;
        else if (state == rec_data) odd <= in;
    
    assign out_byte = {in, odd};
    
endmodule"
