Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,2.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);
    wire c1, c2, c3;
    full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
    full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
    full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
    full_adder FA4(sum[3], cout, in1[3], in2[3], c3);
    full_adder FA5(sum[4], c3, in1[4], in2[4], c3);
    full_adder FA6(sum[5], c3, in1[5], in2[5], c3);
    full_adder FA7(sum[6], c3, in1[6], in2[6], c3);
    full_adder FA8(sum[7], c3, in1[7], in2[7], c3);
    full_adder FA9(sum[8], c3, in1[8], in2[8], c3);
    full_adder FA10(sum[9], c3, in1[9], in2[9], c3);
    full_adder FA11(sum[10], c3, in1[10], in2[10], c3);
    full_adder FA12(sum[11], c3, in1[11], in2[11], c3);
    full_adder FA13(sum[12], c3, in1[12], in2[12], c3);
    full_adder FA14(sum[13], c3, in1[13], in2[13], c3);
    full_adder FA15(sum[14], c3, in1[14], in2[14], c3);
    full_adder FA16(sum[15], c3, in1[15], in2[15], c3);
    full_adder FA17(sum[16], c3, in1[16], in2[16], c3);
    full_adder FA18(sum[17], c3, in1[17], in2[17], c3);
    full_adder FA19(sum[18], c3, in1[18], in2[18], c3);
    full_adder FA20(sum[19], c3, in1[19], in2[19], c3);
    full_adder FA21(sum[20], c3, in1[20], in2[20], c3);
    full_adder FA22(sum[21], c3, in1[21], in2[21], c3);
    full_adder FA23(sum[22], c3, in1[22], in2[22], c3);
    full_adder FA24(sum[23], c3, in1[23], in2[23], c3);
    full_adder FA25(sum[24], c3, in1[24], in2[24], c3);
    full_adder FA26(sum[25], c3, in1[25], in2[25], c3);
    full_adder FA27(sum[26], c3, in1[26], in2[26], c3);
    full_adder FA28(sum[27], c3, in1[27], in2[27], c3);
    full_adder FA29(sum[28], c3, in1[28], in2[28], c3);
    full_adder FA30(sum[29], c3, in1[29], in2[29], c3);
    full_adder FA31(sum[30], c3, in1[30], in2[30], c3);
    full_adder FA32(sum[31], c3, in1[31], in2[31], c3);
    full_adder FA33(sum[32], c3, in1[32], in2[32], c3);
    full_adder FA34(sum[33], c3, in1[33], in2[33], c3);
    full_adder FA35(sum[34], c3, in1[34], in2[34], c3);
    full_adder FA36(sum[35], c3, in1[35], in2[35], c3);
    full_adder"
N/A,N/A,-1,3.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);

    wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15, c16, c17, c18, c19, c20, c21, c22, c23, c24, c25, c26, c27, c28, c29, c30, c31, c32, c33, c34, c35, c36, c37, c38, c39, c40, c41, c42, c43, c44, c45, c46, c47, c48, c49, c50, c51, c52, c53, c54, c55, c56, c57, c58, c59, c60, c61, c62, c63;

    full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
    full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
    full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
    full_adder FA4(sum[3], c4, in1[3], in2[3], c3);
    full_adder FA5(sum[4], c5, in1[4], in2[4], c4);
    full_adder FA6(sum[5], c6, in1[5], in2[5], c5);
    full_adder FA7(sum[6], c7, in1[6], in2[6], c6);
    full_adder FA8(sum[7], c8, in1[7], in2[7], c7);
    full_adder FA9(sum[8], c9, in1[8], in2[8], c8);
    full_adder FA10(sum[9], c10, in1[9], in2[9], c9);
    full_adder FA11(sum[10], c11, in1[10], in2[10], c10);
    full_adder FA12(sum[11], c12, in1[11], in2[11], c11);
    full_adder FA13(sum[12], c13, in1[12], in2[12], c12);
    full_adder FA14(sum[13], c14, in1[13], in2[13], c13);
    full_adder FA15(sum[14], c15, in1[14], in2[14], c14);
    full_adder FA16(sum[15], c16, in1[15], in2[15], c15);
    full_adder FA17(sum[16], c17, in1[16], in2[16], c16);
    full_adder FA18(sum[17], c18, in1[17], in2[17], c17);
    full_adder FA19(sum[18], c19, in1[18], in2[18], c18);
    full_adder FA20(sum[19], c20, in1[19], in2[19], c19);
    full_adder FA21(sum[20], c21, in1[20], in2[20], c20);
    full_adder FA22(sum[21], c22, in1[21], in2[21], c21);
    full_adder FA23(sum[22], c23, in1[22], in2[22], c22);
    full_adder FA24(sum[23], c24, in1[23], in2[23], c23);
    full_adder FA25(sum[24], c25, in1[24], in2[24], c24);
    full_adder FA26(sum[25], c26, in1[25], in2[25], c25);
    full_adder FA27(sum[26], c27, in1[26], in2[26], c26);
    full_adder FA28(sum[27], c28, in1[27], in2[27], c27);
    full_adder FA29(sum[28], c29, in1[28], in2[28], c28);
    full_adder FA30(sum[29], c30, in1[29],"
N/A,N/A,-1,4.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);   
    wire c1, c2, c3;
    full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
    full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
    full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
    full_adder FA4(sum[3], c4, in1[3], in2[3], c3);
    full_adder FA5(sum[4], c5, in1[4], in2[4], c4);
    full_adder FA6(sum[5], c6, in1[5], in2[5], c5);
    full_adder FA7(sum[6], c7, in1[6], in2[6], c6);
    full_adder FA8(sum[7], c8, in1[7], in2[7], c7);
    full_adder FA9(sum[8], c9, in1[8], in2[8], c8);
    full_adder FA10(sum[9], c10, in1[9], in2[9], c9);
    full_adder FA11(sum[10], c11, in1[10], in2[10], c10);
    full_adder FA12(sum[11], c12, in1[11], in2[11], c11);
    full_adder FA13(sum[12], c13, in1[12], in2[12], c12);
    full_adder FA14(sum[13], c14, in1[13], in2[13], c13);
    full_adder FA15(sum[14], c15, in1[14], in2[14], c14);
    full_adder FA16(sum[15], c16, in1[15], in2[15], c15);
    full_adder FA17(sum[16], c17, in1[16], in2[16], c16);
    full_adder FA18(sum[17], c18, in1[17], in2[17], c17);
    full_adder FA19(sum[18], c19, in1[18], in2[18], c18);
    full_adder FA20(sum[19], c20, in1[19], in2[19], c19);
    full_adder FA21(sum[20], c21, in1[20], in2[20], c20);
    full_adder FA22(sum[21], c22, in1[21], in2[21], c21);
    full_adder FA23(sum[22], c23, in1[22], in2[22], c22);
    full_adder FA24(sum[23], c24, in1[23], in2[23], c23);
    full_adder FA25(sum[24], c25, in1[24], in2[24], c24);
    full_adder FA26(sum[25], c26, in1[25], in2[25], c25);
    full_adder FA27(sum[26], c27, in1[26], in2[26], c26);
    full_adder FA28(sum[27], c28, in1[27], in2[27], c27);
    full_adder FA29(sum[28], c29, in1[28], in2[28], c28);
    full_adder FA30(sum[29], c30, in1[29], in2[29], c29);
    full_adder FA31(sum[30], c31, in1[30], in2[30], c30);
    full_adder FA32(sum[31], c32, in1[31], in2[31], c31);
    full_adder FA33(sum[32], c33, in1[32], in2[32], c32);
    full_adder FA34(sum[33], c34, in1[33], in2[33], c33);
    full_adder FA35(sum[34], c35, in1[34], in2[34], c34);
    full_adder FA36(sum[35], c36, in1[35], in2[35], c35);
    full"
N/A,N/A,-1,5.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);
    wire c1, c2, c3;
    full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
    full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
    full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
    full_adder FA4(sum[3], cout, in1[3], in2[3], c3);
    full_adder FA5(sum[4], c3, in1[4], in2[4], c3);
    full_adder FA6(sum[5], c3, in1[5], in2[5], c3);
    full_adder FA7(sum[6], c3, in1[6], in2[6], c3);
    full_adder FA8(sum[7], c3, in1[7], in2[7], c3);
    full_adder FA9(sum[8], c3, in1[8], in2[8], c3);
    full_adder FA10(sum[9], c3, in1[9], in2[9], c3);
    full_adder FA11(sum[10], c3, in1[10], in2[10], c3);
    full_adder FA12(sum[11], c3, in1[11], in2[11], c3);
    full_adder FA13(sum[12], c3, in1[12], in2[12], c3);
    full_adder FA14(sum[13], c3, in1[13], in2[13], c3);
    full_adder FA15(sum[14], c3, in1[14], in2[14], c3);
    full_adder FA16(sum[15], c3, in1[15], in2[15], c3);
    full_adder FA17(sum[16], c3, in1[16], in2[16], c3);
    full_adder FA18(sum[17], c3, in1[17], in2[17], c3);
    full_adder FA19(sum[18], c3, in1[18], in2[18], c3);
    full_adder FA20(sum[19], c3, in1[19], in2[19], c3);
    full_adder FA21(sum[20], c3, in1[20], in2[20], c3);
    full_adder FA22(sum[21], c3, in1[21], in2[21], c3);
    full_adder FA23(sum[22], c3, in1[22], in2[22], c3);
    full_adder FA24(sum[23], c3, in1[23], in2[23], c3);
    full_adder FA25(sum[24], c3, in1[24], in2[24], c3);
    full_adder FA26(sum[25], c3, in1[25], in2[25], c3);
    full_adder FA27(sum[26], c3, in1[26], in2[26], c3);
    full_adder FA28(sum[27], c3, in1[27], in2[27], c3);
    full_adder FA29(sum[28], c3, in1[28], in2[28], c3);
    full_adder FA30(sum[29], c3, in1[29], in2[29], c3);
    full_adder FA31(sum[30], c3, in1[30], in2[30], c3);
    full_adder FA32(sum[31], c3, in1[31], in2[31], c3);
    full_adder FA33(sum[32], c3, in1[32], in2[32], c3);
    full_adder FA34(sum[33], c3, in1[33], in2[33], c3);
    full_adder FA35(sum[34], c3, in1[34], in2[34], c3);
    full_adder FA36(sum[35], c3, in1[35], in2[35], c3);
    full_adder"
N/A,N/A,-1,6.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin); 
    wire c1, c2, c3;
    full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
    full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
    full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
    full_adder FA4(sum[3], cout, in1[3], in2[3], c3);
    full_adder FA5(sum[4], c3, in1[4], in2[4], c3);
    full_adder FA6(sum[5], c3, in1[5], in2[5], c3);
    full_adder FA7(sum[6], c3, in1[6], in2[6], c3);
    full_adder FA8(sum[7], c3, in1[7], in2[7], c3);
    full_adder FA9(sum[8], c3, in1[8], in2[8], c3);
    full_adder FA10(sum[9], c3, in1[9], in2[9], c3);
    full_adder FA11(sum[10], c3, in1[10], in2[10], c3);
    full_adder FA12(sum[11], c3, in1[11], in2[11], c3);
    full_adder FA13(sum[12], c3, in1[12], in2[12], c3);
    full_adder FA14(sum[13], c3, in1[13], in2[13], c3);
    full_adder FA15(sum[14], c3, in1[14], in2[14], c3);
    full_adder FA16(sum[15], c3, in1[15], in2[15], c3);
    full_adder FA17(sum[16], c3, in1[16], in2[16], c3);
    full_adder FA18(sum[17], c3, in1[17], in2[17], c3);
    full_adder FA19(sum[18], c3, in1[18], in2[18], c3);
    full_adder FA20(sum[19], c3, in1[19], in2[19], c3);
    full_adder FA21(sum[20], c3, in1[20], in2[20], c3);
    full_adder FA22(sum[21], c3, in1[21], in2[21], c3);
    full_adder FA23(sum[22], c3, in1[22], in2[22], c3);
    full_adder FA24(sum[23], c3, in1[23], in2[23], c3);
    full_adder FA25(sum[24], c3, in1[24], in2[24], c3);
    full_adder FA26(sum[25], c3, in1[25], in2[25], c3);
    full_adder FA27(sum[26], c3, in1[26], in2[26], c3);
    full_adder FA28(sum[27], c3, in1[27], in2[27], c3);
    full_adder FA29(sum[28], c3, in1[28], in2[28], c3);
    full_adder FA30(sum[29], c3, in1[29], in2[29], c3);
    full_adder FA31(sum[30], c3, in1[30], in2[30], c3);
    full_adder FA32(sum[31], c3, in1[31], in2[31], c3);
    full_adder FA33(sum[32], c3, in1[32], in2[32], c3);
    full_adder FA34(sum[33], c3, in1[33], in2[33], c3);
    full_adder FA35(sum[34], c3, in1[34], in2[34], c3);
    full_adder FA36(sum[35], c3, in1[35], in2[35], c3);
    full_"
N/A,N/A,-1,7.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);  
  
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15, c16, c17, c18, c19, c20, c21, c22, c23, c24, c25, c26, c27, c28, c29, c30, c31, c32, c33, c34, c35, c36, c37, c38, c39, c40, c41, c42, c43, c44, c45, c46, c47, c48, c49, c50, c51, c52, c53, c54, c55, c56, c57, c58, c59, c60, c61, c62, c63;
  
  full_adder FA1 (sum[0], c1, in1[0], in2[0], cin);
  full_adder FA2 (sum[1], c2, in1[1], in2[1], c1);
  full_adder FA3 (sum[2], c3, in1[2], in2[2], c2);
  full_adder FA4 (sum[3], c4, in1[3], in2[3], c3);
  full_adder FA5 (sum[4], c5, in1[4], in2[4], c4);
  full_adder FA6 (sum[5], c6, in1[5], in2[5], c5);
  full_adder FA7 (sum[6], c7, in1[6], in2[6], c6);
  full_adder FA8 (sum[7], c8, in1[7], in2[7], c7);
  full_adder FA9 (sum[8], c9, in1[8], in2[8], c8);
  full_adder FA10 (sum[9], c10, in1[9], in2[9], c9);
  full_adder FA11 (sum[10], c11, in1[10], in2[10], c10);
  full_adder FA12 (sum[11], c12, in1[11], in2[11], c11);
  full_adder FA13 (sum[12], c13, in1[12], in2[12], c12);
  full_adder FA14 (sum[13], c14, in1[13], in2[13], c13);
  full_adder FA15 (sum[14], c15, in1[14], in2[14], c14);
  full_adder FA16 (sum[15], c16, in1[15], in2[15], c15);
  full_adder FA17 (sum[16], c17, in1[16], in2[16], c16);
  full_adder FA18 (sum[17], c18, in1[17], in2[17], c17);
  full_adder FA19 (sum[18], c19, in1[18], in2[18], c18);
  full_adder FA20 (sum[19], c20, in1[19], in2[19], c19);
  full_adder FA21 (sum[20], c21, in1[20], in2[20], c20);
  full_adder FA22 (sum[21], c22, in1[21], in2[21], c21);
  full_adder FA23 (sum[22], c23, in1[22], in2[22], c22);
  full_adder FA24 (sum[23], c24, in1[23], in2[23], c23);
  full_adder FA25 (sum[24], c25, in1[24], in2[24], c24);
  full_adder FA26 (sum[25], c26, in1[25], in2[25], c25);
  full_adder FA27 (sum[26], c27, in1[26], in2[26], c26);
  full_adder FA28 (sum[27], c28, in1[27], in2[27], c27);
  full_adder FA29 (sum[28], c29, in1[28], in2[28], c28);
  full_adder FA30 (sum[29], c30,"
N/A,N/A,-1,8.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);
  wire [63:0] sum_temp;
  wire cout_temp;
  wire [63:0] in1_temp;
  wire [63:0] in2_temp;
  wire cin_temp;
  wire [63:0] add_temp;
  wire [63:0] add_temp2;
  wire [63:0] add_temp3;
  wire [63:0] add_temp4;
  wire [63:0] add_temp5;
  wire [63:0] add_temp6;
  wire [63:0] add_temp7;
  wire [63:0] add_temp8;
  wire [63:0] add_temp9;
  wire [63:0] add_temp10;
  wire [63:0] add_temp11;
  wire [63:0] add_temp12;
  wire [63:0] add_temp13;
  wire [63:0] add_temp14;
  wire [63:0] add_temp15;
  wire [63:0] add_temp16;
  wire [63:0] add_temp17;
  wire [63:0] add_temp18;
  wire [63:0] add_temp19;
  wire [63:0] add_temp20;
  wire [63:0] add_temp21;
  wire [63:0] add_temp22;
  wire [63:0] add_temp23;
  wire [63:0] add_temp24;
  wire [63:0] add_temp25;
  wire [63:0] add_temp26;
  wire [63:0] add_temp27;
  wire [63:0] add_temp28;
  wire [63:0] add_temp29;
  wire [63:0] add_temp30;
  wire [63:0] add_temp31;
  wire [63:0] add_temp32;
  wire [63:0] add_temp33;
  wire [63:0] add_temp34;
  wire [63:0] add_temp35;
  wire [63:0] add_temp36;
  wire [63:0] add_temp37;
  wire [63:0] add_temp38;
  wire [63:0] add_temp39;
  wire [63:0] add_temp40;
  wire [63:0] add_temp41;
  wire [63:0] add_temp42;
  wire [63:0] add_temp43;
  wire [63:0] add_temp44;
  wire [63:0] add_temp45;
  wire [63:0] add_temp46;
  wire [63:0] add_temp47;
  wire [63:0] add_temp48;
  wire [63:0] add_temp49;
  wire [63:0] add_temp50;
  wire [63:0] add_temp51;
  wire [63:0] add_temp52;
  wire [63:0] add_temp53;
  wire [63:0] add_temp54;
  wire [63:0] add_temp55;
  wire [63:0] add_temp56;
  wire [63:0] add_temp57;
  wire [63:0] add_temp58;
  wire [63:0] add_temp59;
  wire [63:0] add_temp60;
  wire [63:0] add_temp61;
  wire [63:0] add_temp62;
  wire [63:0] add_temp63;
  wire [63:0] add_temp64;
  wire [63:0] add_temp65;
  wire [63:0] add_temp66;
  wire [63:0] add_temp67;
  wire [63:0] add_temp68;
  wire [63:0] add_temp69;
  wire [63:0] add_temp70;
  wire [63:0] add_temp71;
  wire [63:0] add_temp72;
  wire [63:0] add_temp73;
  wire [63:0] add_temp74;
  wire [63:0] add_"
N/A,N/A,-1,9.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);

    wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15, c16, c17, c18, c19, c20, c21, c22, c23, c24, c25, c26, c27, c28, c29, c30, c31, c32, c33, c34, c35, c36, c37, c38, c39, c40, c41, c42, c43, c44, c45, c46, c47, c48, c49, c50, c51, c52, c53, c54, c55, c56, c57, c58, c59, c60, c61, c62, c63;

    full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
    full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
    full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
    full_adder FA4(sum[3], c4, in1[3], in2[3], c3);
    full_adder FA5(sum[4], c5, in1[4], in2[4], c4);
    full_adder FA6(sum[5], c6, in1[5], in2[5], c5);
    full_adder FA7(sum[6], c7, in1[6], in2[6], c6);
    full_adder FA8(sum[7], c8, in1[7], in2[7], c7);
    full_adder FA9(sum[8], c9, in1[8], in2[8], c8);
    full_adder FA10(sum[9], c10, in1[9], in2[9], c9);
    full_adder FA11(sum[10], c11, in1[10], in2[10], c10);
    full_adder FA12(sum[11], c12, in1[11], in2[11], c11);
    full_adder FA13(sum[12], c13, in1[12], in2[12], c12);
    full_adder FA14(sum[13], c14, in1[13], in2[13], c13);
    full_adder FA15(sum[14], c15, in1[14], in2[14], c14);
    full_adder FA16(sum[15], c16, in1[15], in2[15], c15);
    full_adder FA17(sum[16], c17, in1[16], in2[16], c16);
    full_adder FA18(sum[17], c18, in1[17], in2[17], c17);
    full_adder FA19(sum[18], c19, in1[18], in2[18], c18);
    full_adder FA20(sum[19], c20, in1[19], in2[19], c19);
    full_adder FA21(sum[20], c21, in1[20], in2[20], c20);
    full_adder FA22(sum[21], c22, in1[21], in2[21], c21);
    full_adder FA23(sum[22], c23, in1[22], in2[22], c22);
    full_adder FA24(sum[23], c24, in1[23], in2[23], c23);
    full_adder FA25(sum[24], c25, in1[24], in2[24], c24);
    full_adder FA26(sum[25], c26, in1[25], in2[25], c25);
    full_adder FA27(sum[26], c27, in1[26], in2[26], c26);
    full_adder FA28(sum[27], c28, in1[27], in2[27], c27);
    full_adder FA29(sum[28], c29, in1[28], in2[28], c28);
    full_adder FA30(sum[29], c30, in1[29],"
N/A,N/A,-1,10.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);    
    wire c1, c2, c3;
    full_adder FA1(sum[0], c1, in1[0], in2[0], cin);
    full_adder FA2(sum[1], c2, in1[1], in2[1], c1);
    full_adder FA3(sum[2], c3, in1[2], in2[2], c2);
    full_adder FA4(sum[3], c4, in1[3], in2[3], c3);
    full_adder FA5(sum[4], c5, in1[4], in2[4], c4);
    full_adder FA6(sum[5], c6, in1[5], in2[5], c5);
    full_adder FA7(sum[6], c7, in1[6], in2[6], c6);
    full_adder FA8(sum[7], c8, in1[7], in2[7], c7);
    full_adder FA9(sum[8], c9, in1[8], in2[8], c8);
    full_adder FA10(sum[9], c10, in1[9], in2[9], c9);
    full_adder FA11(sum[10], c11, in1[10], in2[10], c10);
    full_adder FA12(sum[11], c12, in1[11], in2[11], c11);
    full_adder FA13(sum[12], c13, in1[12], in2[12], c12);
    full_adder FA14(sum[13], c14, in1[13], in2[13], c13);
    full_adder FA15(sum[14], c15, in1[14], in2[14], c14);
    full_adder FA16(sum[15], c16, in1[15], in2[15], c15);
    full_adder FA17(sum[16], c17, in1[16], in2[16], c16);
    full_adder FA18(sum[17], c18, in1[17], in2[17], c17);
    full_adder FA19(sum[18], c19, in1[18], in2[18], c18);
    full_adder FA20(sum[19], c20, in1[19], in2[19], c19);
    full_adder FA21(sum[20], c21, in1[20], in2[20], c20);
    full_adder FA22(sum[21], c22, in1[21], in2[21], c21);
    full_adder FA23(sum[22], c23, in1[22], in2[22], c22);
    full_adder FA24(sum[23], c24, in1[23], in2[23], c23);
    full_adder FA25(sum[24], c25, in1[24], in2[24], c24);
    full_adder FA26(sum[25], c26, in1[25], in2[25], c25);
    full_adder FA27(sum[26], c27, in1[26], in2[26], c26);
    full_adder FA28(sum[27], c28, in1[27], in2[27], c27);
    full_adder FA29(sum[28], c29, in1[28], in2[28], c28);
    full_adder FA30(sum[29], c30, in1[29], in2[29], c29);
    full_adder FA31(sum[30], c31, in1[30], in2[30], c30);
    full_adder FA32(sum[31], c32, in1[31], in2[31], c31);
    full_adder FA33(sum[32], c33, in1[32], in2[32], c32);
    full_adder FA34(sum[33], c34, in1[33], in2[33], c33);
    full_adder FA35(sum[34], c35, in1[34], in2[34], c34);
    full_adder FA36(sum[35], c36, in1[35], in2[35], c35);
    full"
N/A,N/A,-1,11.0,1,"//Design a 64-bit adder.
//There are two 64 bit inputs (in1 and in2) and a single carry-in input bit, cin.
//The outputs are a 64 bit value, [63:0] sum, and a single carry-out output bit, cout.
//The module should utilize the inputs (in1 and in2) and the cin bit to obtain the output sum and cout values.
module adder_64(output [63:0] sum,
                      output cout,
                      input [63:0] in1, in2,
                      input cin);                                    
  wire c1, c2, c3, c4, c5, c6, c7, c8, c9, c10, c11, c12, c13, c14, c15, c16, c17, c18, c19, c20, c21, c22, c23, c24, c25, c26, c27, c28, c29, c30, c31, c32, c33, c34, c35, c36, c37, c38, c39, c40, c41, c42, c43, c44, c45, c46, c47, c48, c49, c50, c51, c52, c53, c54, c55, c56, c57, c58, c59, c60, c61, c62, c63;
  
  full_adder FA1 (sum[0], c1, in1[0], in2[0], cin);
  full_adder FA2 (sum[1], c2, in1[1], in2[1], c1);
  full_adder FA3 (sum[2], c3, in1[2], in2[2], c2);
  full_adder FA4 (sum[3], c4, in1[3], in2[3], c3);
  full_adder FA5 (sum[4], c5, in1[4], in2[4], c4);
  full_adder FA6 (sum[5], c6, in1[5], in2[5], c5);
  full_adder FA7 (sum[6], c7, in1[6], in2[6], c6);
  full_adder FA8 (sum[7], c8, in1[7], in2[7], c7);
  full_adder FA9 (sum[8], c9, in1[8], in2[8], c8);
  full_adder FA10 (sum[9], c10, in1[9], in2[9], c9);
  full_adder FA11 (sum[10], c11, in1[10], in2[10], c10);
  full_adder FA12 (sum[11], c12, in1[11], in2[11], c11);
  full_adder FA13 (sum[12], c13, in1[12], in2[12], c12);
  full_adder FA14 (sum[13], c14, in1[13], in2[13], c13);
  full_adder FA15 (sum[14], c15, in1[14], in2[14], c14);
  full_adder FA16 (sum[15], c16, in1[15], in2[15], c15);
  full_adder FA17 (sum[16], c17, in1[16], in2[16], c16);
  full_adder FA18 (sum[17], c18, in1[17], in2[17], c17);
  full_adder FA19 (sum[18], c19, in1[18], in2[18], c18);
  full_adder FA20 (sum[19], c20, in1[19], in2[19], c19);
  full_adder FA21 (sum[20], c21, in1[20], in2[20], c20);
  full_adder FA22 (sum[21], c22, in1[21], in2[21], c21);
  full_adder FA23 (sum[22], c23, in1[22], in2[22], c22);
  full_adder FA24 (sum[23], c24, in1[23], in2[23], c23);
  full_adder FA25 (sum[24], c25, in1[24], in2[24], c24);
  full_adder FA26 (sum[25], c26, in1[25], in2[25], c25);
  full_adder FA27 (sum[26], c27, in1[26], in2[26], c26);
  full_adder FA28 (sum[27], c28, in1[27], in2[27], c27);
  full_adder FA29 (sum[28], c29, in1[28], in2[28], c28);
  full_adder FA30 (sum[29], c30, in"
