Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-1,0,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Use FSM from Fsm_serial

endmodule"
N/A,N/A,-1,1,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Use FSM from Fsm_serial

endmodule"
N/A,N/A,-1,2,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    
    parameter idle = 0, rec_data = 1, stop_bit = 2, overflow = 3;
    reg [2:0] state, next_state;
    reg [7:0] rec_data_reg;
    reg [3:0] rec_count;
    reg [2:0] stop_count;
    reg out_byte_reg;
    reg done_reg;
    
    always @(posedge clk) begin
        if(reset)
            state <= idle;
        else
            state <= next_state;
    end
    
    always @(*) begin
        case(state)
            idle: begin
                if(~in)
                    next_state = rec_data;
                else
                    next_state = idle;
            end
            
            rec_data: begin
                next_state = rec_data;
                rec_data_reg[7] <= in;
                rec_data_reg[6] <= rec_data_reg[7];
                rec_data_reg[5] <= rec_data_reg[6];
                rec_data_reg[4] <= rec_data_reg[5];
                rec_data_reg[3] <= rec_data_reg[4];
                rec_data_reg[2] <= rec_data_reg[3];
                rec_data_reg[1] <= rec_data_reg[2];
                rec_data_reg[0] <= rec_data_reg[1];
            end
            
            stop_bit: begin
                next_state = overflow;
                rec_count <= 0;
                stop_count <= 0;
            end
            
            overflow: begin
                next_state = idle;
                done_reg <= 1;
            end
        endcase
    end
    
    always @(posedge clk) begin
        if(state == rec_data) begin
            rec_count <= rec_count + 1;
            if(rec_count == 7)
                rec_data_reg <= {rec_data_reg[6:0], in};
        end else if(state == stop_bit) begin
            stop_count <= stop_count + 1;
            if(stop_count == 3)
                out_byte_reg <= rec_data_reg;
        end
    end
    
    assign done = done_reg;
    assign out_byte = out_byte_reg;
    
endmodule"
N/A,N/A,-1,3,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    
    parameter idle = 0, rec_data = 1, stop_bit = 2, overflow = 3;
    reg [2:0] state, next_state;
    reg [7:0] rec_data_reg;
    reg [3:0] rec_count;
    reg [2:0] stop_count;
    reg out_byte_reg;
    reg done_reg;
    
    always @(posedge clk) begin
        if(reset)
            state <= idle;
        else
            state <= next_state;
    end
    
    always @(*) begin
        case(state)
            idle: begin
                if(~in)
                    next_state = rec_data;
                else
                    next_state = idle;
            end
            
            rec_data: begin
                next_state = rec_data;
                rec_data_reg[7] <= in;
                rec_data_reg[6] <= rec_data_reg[7];
                rec_data_reg[5] <= rec_data_reg[6];
                rec_data_reg[4] <= rec_data_reg[5];
                rec_data_reg[3] <= rec_data_reg[4];
                rec_data_reg[2] <= rec_data_reg[3];
                rec_data_reg[1] <= rec_data_reg[2];
                rec_data_reg[0] <= rec_data_reg[1];
            end
            
            stop_bit: begin
                next_state = overflow;
                rec_count <= 0;
                stop_count <= 0;
            end
            
            overflow: begin
                next_state = idle;
                done_reg <= 1;
            end
        endcase
    end
    
    always @(posedge clk) begin
        if(state == rec_data) begin
            rec_count <= rec_count + 1;
            if(rec_count == 7)
                rec_data_reg <= {rec_data_reg[6:0], in};
        end else if(state == stop_bit) begin
            stop_count <= stop_count + 1;
            if(stop_count == 3)
                out_byte_reg <= rec_data_reg;
        end
    end
    
    assign done = done_reg;
    assign out_byte = out_byte_reg;
    
endmodule"
N/A,N/A,-1,4,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Use FSM from Fsm_serial

// New: Datapath to latch input bits.

endmodule"
N/A,N/A,-1,5,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    // New: Datapath to latch input bits.
    
    reg [2:0] state, next_state;
    reg [3:0] count;
    reg [7:0] out;
    reg out_bit;
    
    always @(*) begin
        case (state)
            3'b000: begin
                if (in)
                    next_state = 3'b001;
                else
                    next_state = 3'b000;
            end
            3'b001: begin
                if (count == 9)
                    next_state = 3'b010;
                else
                    next_state = 3'b001;
            end
            3'b010: begin
                if (in)
                    next_state = 3'b011;
                else
                    next_state = 3'b010;
            end
            3'b011: begin
                if (count == 8)
                    next_state = 3'b100;
                else
                    next_state = 3'b011;
            end
            3'b100: begin
                if (in)
                    next_state = 3'b101;
                else
                    next_state = 3'b100;
            end
            3'b101: begin
                if (count == 7)
                    next_state = 3'b110;
                else
                    next_state = 3'b101;
            end
            3'b110: begin
                if (in)
                    next_state = 3'b111;
                else
                    next_state = 3'b110;
            end
            3'b111: begin
                if (count == 6)
                    next_state = 3'b000;
                else
                    next_state = 3'b111;
            end
            default: next_state = 3'b000;
        endcase
    end
    
    always @(posedge clk) begin
        if (reset) begin
            state <= 3'b000;
            count <= 4'b0000;
            out <= 8'b00000000;
        end
        else begin
            state <= next_state;
            if (next_state == 3'b111)
                count <= count + 4'b0001;
            else if (next_state!= 3'b000) begin
                count <= 4'b0000;
                out_bit <= in;
            end
            else if (next_state == 3'b000) begin
                out_bit <= 1'b0;
                out <= out << 1;
            end
        end
    end
    
    assign done = (state == 3'b111);
    assign out_byte = out;
    
endmodule"
N/A,N/A,-1,6,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    // New: Datapath to latch input bits.
    
    parameter idle = 0, rec_data = 1, stop_bit = 2, overflow = 3;
    reg [1:0] state, next_state;
    reg [3:0] counter;
    reg [7:0] rec_data_reg;
    reg [7:0] out_byte_reg;
    
    assign done = (state == stop_bit)? 1 : 0;
    
    always @(*) begin
        case (state)
            idle: begin
                if (in)
                    next_state = rec_data;
                else
                    next_state = idle;
            end
            
            rec_data: begin
                if (counter == 8)
                    next_state = stop_bit;
                else
                    next_state = rec_data;
            end
            
            stop_bit: begin
                if (in)
                    next_state = overflow;
                else
                    next_state = idle;
            end
            
            overflow: begin
                next_state = idle;
            end
            
            default: next_state = idle;
        endcase
    end
    
    always @(posedge clk) begin
        if (reset)
            state <= idle;
        else
            state <= next_state;
    end
    
    always @(posedge clk) begin
        if (state == rec_data)
            rec_data_reg <= {rec_data_reg[6:0], in};
    end
    
    always @(posedge clk) begin
        if (state == stop_bit)
            counter <= counter + 1;
        else
            counter <= 0;
    end
    
    always @(posedge clk) begin
        if (state == rec_data && counter == 8)
            out_byte_reg <= {rec_data_reg[7], rec_data_reg[6:0]};
    end
    
    assign out_byte = (state == stop_bit)? out_byte_reg : 8'b0;
    
    // New: Datapath to latch input bits.
    
    always @(posedge clk) begin
        if (reset)
            rec_data_reg <= 0;
        else if (next_state == rec_data)
            rec_data_reg <= {rec_data_reg[6:0], in};
    end
    
    always @(posedge clk) begin
        if (reset)
            out_byte_reg <= 0;
        else if (next_state == rec_data && counter == 8)
            out_byte_reg <= {rec_data_reg[7], rec_data_reg[6:0]};
    end
    
endmodule"
N/A,N/A,-1,7,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);
    
    // Use FSM from Fsm_serial
    // New: Latch input bits.
    
    // State transition logic
    always @(*) begin
        case (state)
            idle: begin
                if(~in)
                    next_state = idle;
                else
                    next_state = rec_data;
            end
            
            rec_data: begin
                if(~in)
                    next_state = rec_data;
                else
                    next_state = rec_stop;
            end
            
            rec_stop: begin
                if(~in)
                    next_state = rec_stop;
                else
                    next_state = idle;
            end
            
            default:
                next_state = idle;
        endcase
    end
    
    // State flip-flops with asynchronous reset
    always @(posedge clk) begin
        if(reset)
            state <= idle;
        else
            state <= next_state;
    end
    
    // New: Latch input bits.
    reg [7:0] rec_data_reg;
    always @(posedge clk) begin
        if(state == rec_data)
            rec_data_reg <= {rec_data_reg[6:0], in};
    end
    
    // New: Datapath to latch input bits.
    assign out_byte = rec_data_reg;
    
    // New: Output done flag
    assign done = (state == rec_stop);
    
endmodule"
N/A,N/A,-1,8,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Modify FSM and datapath from Fsm_serial

// New: Latch input bits.

endmodule"
N/A,N/A,-1,9,0,"// Assume you have a finite state machine that will identify when bytes have been correctly received when given a stream of bits. It needs to identify the start bit, wait for all 8 data bits, then verify that the stop bit was correct. If the stop bit does not appear when expected, the FSM must wait until it finds a stop bit before attempting to receive the next byte.
// Now that you have a finite state machine that can identify when bytes are correctly received in a serial bitstream, add a datapath that will output the correctly-received data byte. out_byte needs to be valid when done is 1, and is don't-care otherwise.

// Note that the serial protocol sends the least significant bit first.

// Hint: The serial bitstream needs to be shifted in one bit at a time, then read out in parallel. 
// Use FSM from Fsm_serial
// New: Datapath to latch input bits.

module top_module(
    input clk,
    input in,
    input reset,    // Synchronous reset
    output [7:0] out_byte,
    output done
);

// Use FSM from Fsm_serial

// New: Datapath to latch input bits.

endmodule"
