Area,Delay,Score,Current Run,Episode,Verilog
N/A,N/A,-0.1,2.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);
    /* Write your code here */
    genvar i;
    generate
        for(i = 0; i < 64; i = i + 1) begin
            assign product[(i+1)*8 - 1 -: 8] = A[i]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
        end
    endgenerate
    /* Write your code here */
endmodule"
N/A,N/A,-1,3.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);
    /*
        Group Members: Kevin Ingram and Warren Seto

        Lab Name: Combinational Logic
        Project Name: eng312_proj2
        Design Name: multiplier_64bit.v
        Design Description: Verilog Module to implement a 64 bit multiplier
    */
    
    //64 bit input A and B
    
    //128 bit output product
    
    //64 bit intermediate product
    
    //32 bit intermediate A and B
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
"
30438.114,3921.99,0.1,4.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);
    /*
        Implement a 64 bit multiplier with 128 bit output.
        This implementation uses a 32 bit by 32 bit multiply and a 64 bit adder.
        Use the module below to generate the code.
    */
    assign product = A * B;
endmodule"
N/A,N/A,-1,5.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);

    /* Please fill in the implementation here... */
    genvar i;
    generate
        for (i = 0; i < 64; i = i + 1) begin: mul_digit
            assign product[(8 * i) + 7:8 * i] = mul_digit[i].mul_digit_reg[7:0];
        end
    endgenerate

    /*
    always @(A or B) begin
        //$display(""%d * %d"", A, B);
        product <= A * B;
    end
    */

endmodule"
N/A,N/A,-1,6.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);
	/* Write your code here */
	genvar i;
	generate
		for (i = 0; i < 64; i = i + 1) begin: mul_digit
			assign product[(8 * i) + 7:8 * i] = mul_digit[i].A * mul_digit[i].B;
		end
	endgenerate
	/* Write your code here */
endmodule"
N/A,N/A,-1,7.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);

	/* Please fill in the implementation here... */
	genvar i;
	generate
		for (i = 0; i < 64; i = i + 1) begin: mul_digit
			assign product[(8 * i) + 7:8 * i] = mul_digit[i].A * mul_digit[i].B;
		end
	endgenerate

endmodule"
N/A,N/A,-1,8.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);
    /* Please fill in the implementation here... */
    genvar i;
    generate
        for (i = 0; i < 64; i = i + 1) begin: mul_digit
            assign product[(8 * i) + 7:8 * i] = mul_digit[i].A * mul_digit[i].B;
        end
    endgenerate
endmodule"
N/A,N/A,-1,9.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);
    assign pp0 = A[0]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp1 = A[1]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp2 = A[2]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp3 = A[3]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp4 = A[4]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp5 = A[5]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp6 = A[6]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp7 = A[7]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp8 = A[8]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp9 = A[9]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp10 = A[10]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp11 = A[11]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp12 = A[12]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp13 = A[13]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp14 = A[14]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp15 = A[15]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp16 = A[16]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp17 = A[17]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp18 = A[18]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp19 = A[19]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp20 = A[20]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp21 = A[21]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp22 = A[22]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp23 = A[23]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp24 = A[24]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp25 = A[25]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp26 = A[26]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp27 = A[27]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp28 = A[28]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp29 = A[29]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp30 = A[30]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp31 = A[31]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp32 = A[32]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp33 = A[33]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp34 = A[34]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp35 = A[35]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp36 = A[36]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp37 = A[37]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp38 = A[38]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp39 = A[39]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp40 = A[40]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp41 = A[41]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp42 = A[42]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp43 = A[43]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp44 = A[44]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp45 = A[45]? B: 64'b0000000000000000000000000000000000000000000000000000000000000000;
    assign pp46 = A[46]?"
N/A,N/A,-1,10.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);

	/* Please fill in the implementation here... */
	genvar i;
	generate
		for (i = 0; i < 64; i = i + 1) begin: mul_digit
			assign product[(8 * i) + 7:8 * i] = mul_digit[i].A * mul_digit[i].B;
		end
	endgenerate

endmodule"
N/A,N/A,-1,11.0,1,"//Please finish designing the 64 bit multiplier module (multiplier_64) below.
//There are two 64 bit inputs (A and B) and a 128 bit output (product).
//The module should utilize the inputs (A and B) to determine the output product correctly in its implementation.
module multiplier_64(output [127:0] product, input [63:0] A, B);
    /*
        Group Members: Kevin Ingram and Warren Seto

        Lab Name: Combinational Logic
        Project Name: eng312_proj2
        Design Name: multiplier_64bit.v
        Design Description: Verilog Module to implement a 64 bit multiplier
    */
    
    //64 bit input A and B
    
    //128 bit output product
    
    //64 bit intermediate product
    
    //32 bit intermediate A and B
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
    //32 bit intermediate product
    
"
